Date(UT),ΔT(days),Exposure Time(s),Magnitude,Error,Filter
,,,,,
.Sep 21..219.,0,0,0,0,GRB 010921
.Sep 21..255.,.0..036.,1 x 50,.15..5.,.0..15.,Clear
.Sep 21..255.,.0..036.,1 x 50,.15..9.,.0..15.,V
.Sep 21..417.,.0..198.,1 x 50,.15..5.,.0..15.,Clear
.Sep 21..255.,.0..198.,1 x 50,.15..9.,.0..15.,V
.Sep 22..108.,.0..889.,500,.20..5.,.0..5.,u*
.Sep 22..112.,.0..893.,200,.20..8.,.0..6.,g*
.Sep 22..115.,.0..896.,200,.19..5.,.0..3.,r*
.Sep 22..118.,.0..899.,200,.18..8.,.0..7.,i*
.Sep 22..121.,.0..902.,200,15,.0..5.,z*
.Sep 22..128.,.0..909.,20 x 50,.19..4.,.0..2.,Clear
.Sep 22..267.,.1..048.,20 x 50,.19..9.,.0..2.,Clear
.Sep 22..781.,.1..562.,38 x 120,.19..32.,.0..08.,IC
.Sep 23..128.,.1..909.,20 x 50,.21..1.,.0..3.,Clear
.Sep 23..244.,.2..025.,500,.19..5.,.0..5.,u*
.Sep 23..249.,.2..03.,400,.22..4.,1,g*
.Sep 23..255.,.2..036.,400,.21..5.,1,r*
.Sep 23..260.,.2..041.,400,.18..5.,.0..5.,i*
.Sep 23..266.,.2..047.,400,18,.0..5.,z*
.Sep 23..269.,.2..05.,20 x 50,.21..2.,.0..3.,Clear
.Oct 25..770.,.34..551.,8 x 120,.20..94.,.0..26.,IC
.Nov 17..7.,.56..7.,8 x 600,.21..93.,.0..09.,RC
.Nov 17..7.,.56..7.,8 x 600,.21..05.,.0..08.,IC
