Date(UT),Filter,Magnitude,Error
.2001 Sep 22..144.,r',.19..593.,.0..033.
.2001 Sep 22..148.,r',.19..601.,.0..039.
.2001 Sep 22..289.,I,.18..854.,.0..064.
.2001 Sep 22..293.,R,.19..669.,.0..06.
.2001 Sep 22..298.,V,.20..296.,.0..07.
.2001 Sep 22..304.,B,.21..159.,.0..088.
.2001 Sep 22..313.,U,.20..91.,.0..205.
.2001 Sep 22..321.,R,.19..79.,.0..069.
.2001 Sep 27..354.,r',.21..62.,.0..036.
.2001 Oct 12..226.,R,.21..693.,.0..053.
.2001 Oct 17..145.,r',.21..994.,.0..028.
.2001 Oct 17..165.,i',.21..66.,.0..022.
.2001 Oct 18..088.,r',.21..918.,.0..03.
.2001 Oct 18..110.,i',.21..67.,.0..021.
.2001 Oct 19..178.,g',.22..947.,.0..043.
.2001 Oct 19..109.,r',.21..977.,.0..028.
.2001 Oct 19..130.,i',.21..65.,.0..03.
.2001 Oct 19..149.,z',.21..419.,.0..043.
.2001 Oct 19..253.,B,.23..423.,.0..079.
.2001 Oct 19..206.,V,.22..324.,.0..057.
.2001 Oct 19..272.,R,.21..807.,.0..051.
.2001 Nov 01..287.,Ks,.19..069.,.0..037.
.2001 Nov 01..345.,H,.19..75.,.0..035.
.2001 Nov 01..316.,J,.20..338.,.0..019.
