time(s)	erg/cm2/s	err
133.9300699	2.25E-12	1.98E-13
567.4405594	1.71E-12	5.27E-13
1160.559441	1.30E-12	4.78E-14
1228.531469	1.22E-12	2.22E-14
1248.112448	1.30E-12	4.69E-14
1359.440559	1.08E-12	9.49E-14
1429.93007	1.12E-12	4.06E-14
1493.451189	1.09E-12	6.15E-14
1681.678322	1.03E-12	1.88E-14
1739.368951	9.37E-13	6.66E-14
1883.076923	9.50E-13	2.59E-14
2008.01958	8.84E-13	4.37E-14
2134.825175	8.67E-13	2.36E-14
2253.358322	8.33E-13	4.33E-14
2498.118042	8.93E-13	5.57E-14
3022.48951	6.80E-13	2.10E-13
3494.265734	6.29E-13	3.93E-14
3695.664336	5.95E-13	3.20E-14
3897.062937	5.68E-13	3.55E-14
4148.811189	5.42E-13	1.48E-14
4652.307692	4.86E-13	3.03E-14
4745.318601	4.41E-13	8.42E-14
5004.755245	5.04E-13	2.71E-14
5008.033007	5.03E-13	5.14E-14
5407.552448	4.73E-13	2.54E-14
5483.076923	4.71E-13	4.14E-14
5499.878601	4.28E-13	5.35E-14
5760		3.65E-13	1.96E-14
6004.543217	4.25E-13	2.80E-14
6162.797203	3.79E-13	2.37E-14
7372.698135	3.91E-13	3.24E-14
7444.014545	3.53E-13	2.11E-14
7444.195804	3.47E-13	1.56E-14
7632.825734	3.47E-13	2.32E-14
7633.006993	3.47E-13	1.56E-14
7763.412587	3.24E-13	2.02E-14
7955.637483	3.41E-13	1.74E-14
8160.671329	3.42E-13	9.33E-15
8160.726713	3.22E-13	2.12E-14
8349.986014	2.90E-13	1.30E-14
8350.162238	3.07E-13	2.13E-14
8816.903497	2.87E-13	1.99E-14
8817.230769	2.98E-13	8.13E-15
9015.039441	2.86E-13	1.89E-14
9015.104895	2.87E-13	1.29E-14
9225.999441	2.60E-13	1.76E-14
9226.06993	2.66E-13	1.43E-14
9365.034965	2.71E-13	2.49E-14
9469.762238	2.86E-13	2.76E-14
9939.020979	2.47E-13	2.17E-14
12316.02797	2.05E-13	1.03E-14
12789.31469	2.17E-13	6.69E-15
13277.2028	2.04E-13	9.37E-15
13277.70629	1.86E-13	7.21E-15
13801.34266	1.82E-13	8.68E-15
14973.98601	2.15E-13	1.98E-14
15231.27273	1.68E-13	7.11E-15
16006.15385	1.71E-13	7.87E-15
16006.65734	1.62E-13	8.55E-15
16247.83217	1.30E-13	1.19E-14
16449.23077	1.56E-13	3.76E-14
16847.4965	1.65E-13	6.98E-15
17018.18182	1.56E-13	3.76E-14
17280		1.50E-13	2.05E-14
17481.3986	1.64E-13	1.44E-14
17592.65622	1.45E-13	1.03E-14
17612.30769	1.68E-13	7.72E-15
17612.81119	1.62E-13	8.55E-15
17677.76224	1.42E-13	3.43E-14
18357.48252	1.45E-13	8.00E-15
18357.98601	1.38E-13	7.67E-15
19037.2028	1.34E-13	9.51E-15
19354.40559	1.38E-13	1.21E-14
20014.48951	1.40E-13	6.65E-15
20275.8042	1.34E-13	7.18E-15
20512.44755	1.18E-13	1.09E-14
20663.63748	1.16E-13	6.24E-15
22526.43357	1.08E-13	9.49E-15
22662.37762	1.24E-13	3.42E-14
23533.42657	9.83E-14	9.06E-15
23584.26462	1.02E-13	5.48E-15
23956.36364	9.52E-14	5.12E-15
25245.80308	9.30E-14	5.00E-15
28064.8951	8.48E-14	3.07E-15
29626.22266	8.03E-14	5.01E-15
31342.65734	7.25E-14	1.52E-15
31775.66434	7.34E-14	1.14E-15
32208.67133	6.97E-14	1.34E-15
32314.40559	7.29E-14	1.40E-15
32410.06993	7.10E-14	1.31E-15
32410.06993	7.10E-14	1.30E-15
32500.6993	7.11E-14	1.81E-15
32591.32867	6.82E-14	1.68E-15
32686.99301	6.83E-14	2.05E-15
32777.62238	6.66E-14	1.81E-15
32868.25175	6.87E-14	1.44E-15
32963.91608	6.96E-14	2.21E-15
33054.54545	6.77E-14	1.36E-15
33145.17483	6.87E-14	1.20E-15
33145.17483	6.87E-14	1.19E-15
33235.8042	6.74E-14	1.66E-15
33331.46853	7.04E-14	1.92E-15
33427.13287	6.83E-14	2.35E-15
33517.76224	6.49E-14	1.91E-15
33517.76224	6.49E-14	1.88E-15
33608.39161	6.86E-14	1.31E-15
33699.02098	6.66E-14	1.28E-15
33794.68531	6.38E-14	1.34E-15
33885.31469	6.68E-14	1.58E-15
33980.97902	6.57E-14	1.56E-15
34071.60839	6.45E-14	1.47E-15
34162.23776	6.63E-14	1.15E-15
34257.9021	6.63E-14	1.71E-15
34257.9021	6.63E-14	1.69E-15
34348.53147	6.36E-14	1.68E-15
34439.16084	6.46E-14	1.76E-15
34534.82517	6.49E-14	1.77E-15
34534.82517	6.49E-14	1.79E-15
34625.45455	6.58E-14	1.68E-15
34716.08392	6.48E-14	1.48E-15
34806.71329	6.59E-14	1.56E-15
34897.34266	6.34E-14	1.44E-15
35315.24476	6.32E-14	1.38E-15
35405.87413	6.50E-14	1.13E-15
35501.53846	6.53E-14	1.37E-15
35592.16783	6.51E-14	1.25E-15
35682.7972	6.48E-14	1.18E-15
35773.42657	6.58E-14	1.32E-15
35869.09091	6.28E-14	1.43E-15
38638.82517	6.01E-14	4.27E-15
72704.8951	2.56E-14	4.89E-15
79925.03497	2.42E-14	1.72E-15
87527.83217	1.86E-14	1.00E-15
87643.63636	2.00E-14	7.23E-16
89879.16084	1.96E-14	3.58E-16
90281.95804	1.93E-14	3.87E-16
137660.979	1.11E-14	4.99E-16
138748.5315	1.21E-14	6.49E-16
146446.993	1.10E-14	7.80E-16
146900.1399	1.01E-14	6.30E-16
187633.007	7.96E-15	5.65E-16
194002.2378	6.56E-15	4.10E-16
194415.1049	6.39E-15	3.99E-16
232031.3287	6.26E-15	3.37E-16
235001.958	6.20E-15	5.46E-16
426381.0023	5.16E-15	1.19E-15
496558.3333	3.85E-15	5.67E-16
625011.655	3.91E-15	7.21E-16
1.39E+06	3.99E-15	3.67E-16
1.55E+06	4.14E-15	3.81E-16
1.86E+06	4.84E-15	4.90E-16
2.85E+06	2.11E-15	2.33E-16
3.25E+06	1.54E-15	3.27E-16
