Time	Mag	MagErr	Band
33832.8 20.39 0.06 B
34404 19.68  0.05 V
34922.4 18.75  0.03 R
35527.2 18.20  0.04 I
93328.8 20.64  0.26 R
97732.8 20.56  0.08 R
96402 21.44  0.03 V 
96661.2 21.45  0.03 V
101672 22.29  0.04 B 
101759 21.42  0.02 V 
101932 20.51  0.02 R 
102018 20.02  0.02 I 
102784 20.04  0.10 I 
105676 20.57  0.03 R 
107190 21.55  0.12 V  
119280 20.83  0.13 R  
182917 22.17  0.08 V 
184472 21.27  0.05 R 
186460 20.82  0.08 I 
189605 19.86  0.04 J
190616 17.93  0.07 K  
194207 22.12  0.02 V 
194380 22.09  0.03 V 
202415 22.22  0.03 V 
202588 22.18  0.04 V 
208049 21.50  0.07 R 
206719 18.13  0.18 K  
210596 22.32  0.04 V 
210607 19.38  0.05 H  
210769 21.43  0.02 R  
211028 20.90  0.03 I  
213026 20.09  0.03 J 
271022 22.01  0.14 R  
280778 22.94  0.09 V 
282461 22.15  0.15 R 
284189 21.57  0.09 I 
367798 22.36  0.09 R 
387577 19.06  0.20 K 
392502 20.34  0.08 H 
898385 24.30  0.13 R 
8.99162e6 >25.0 ? I 
8.99283e6 >25.6 ? R 
1.02863e7 28.0  0.3 V 
