t	mag	dmag	band
20101.7	20.133573	0.09898	r
20202.3	20.099342	0.088574	r
20295.3	20.116874	0.089227	r
20398.4	20.02435	0.093168	r
20491.7	20.02086	0.091557	r
20595.4	20.068748	0.08638	r
20701.9	19.90959	0.074018	r
20808.0	20.031681	0.094779	r
20904.3	19.919777	0.083002	r
21024.5	20.099586	0.094746	r
21127.3	20.016236	0.086473	r
21230.8	20.104229	0.097032	r
21333.1	19.941482	0.087934	r
21459.7	19.866324	0.078483	r
21553.0	20.138259	0.095812	r
21653.8	20.096594	0.109975	r
20877.75	20.034207	0.023312	r
20101.8	19.205985	0.052834	i
20202.3	19.374554	0.05715	i
20295.4	19.293677	0.052768	i
20398.4	19.158682	0.051588	i
20491.8	19.271386	0.055824	i
20595.5	19.28264	0.050644	i
20702.0	19.343786	0.055682	i
20808.1	19.312726	0.058586	i
20904.4	19.204612	0.050686	i
21024.6	19.323094	0.055985	i
21127.4	19.327475	0.056062	i
21230.9	19.273498	0.055917	i
21333.2	19.253207	0.056015	i
21459.8	19.415186	0.063624	i
21553.1	19.340448	0.057547	i
21653.8	19.265791	0.061785	i
20877.8	19.301888	0.014854	i
20108.05	18.617001	0.10483	Z
20406.05	18.748524	0.11472	Z
20501.05	18.778276	0.118925	Z
20817.05	18.82505	0.12809	Z
20916.05	18.66928	0.10946	Z
21242.05	18.874873	0.139852	Z
21342.1	18.826956	0.123425	Z
20886.6	18.789304	0.05126	Z
20603.05	18.517872	0.197794	Y
20886.6	18.503116	0.075928	Y
20406.05	17.968927	0.159064	J
20890.6	18.23834	0.070825	J
20890.6	17.771245	0.076968	H
