Time	Mag	MagErr	Band
425.08799999999997	11.044	0.04	UVW2
449.28	12.169	0.03	UVV
474.336	11.158	0.03	UVM2
498.528	11.228	0.04	UVW1
598.7520000000001	11.464	0.03	UVW2
622.9440000000001	12.569	0.03	UVV
647.136	11.548	0.03	UVM2
672.192	11.718	0.03	UVW1
722.304	12.899	0.16	UVB
771.552	11.864	0.03	UVW2
796.6080000000001	12.799	0.03	UVV
819.936	11.828	0.03	UVM2
844.9920000000001	11.978	0.03	UVW1
869.184	12.177	0.04	UVU
894.24	13.229	0.03	UVB
1097.28	12.174	0.03	UVW2
1121.472	13.339	0.04	UVV
1146.528	12.328	0.04	UVM2
1170.72	12.448	0.03	UVW1
1195.776	12.587	0.03	UVU
1219.104	13.639	0.03	UVB
1270.944	12.444	0.04	UVW2
1295.136	13.479	0.04	UVV
1320.192	12.438	0.04	UVM2
1344.384	12.558	0.03	UVW1
1369.44	12.817	0.03	UVU
1393.6319999999998	13.849	0.03	UVB
1443.744	12.554	0.04	UVW2
1467.072	13.679	0.04	UVV
1492.1280000000002	12.598	0.04	UVM2
1516.32	12.728	0.04	UVW1
1540.512	12.897	0.03	UVU
1566.432	13.999	0.03	UVB
1615.68	12.754	0.04	UVW2
1640.736	13.839	0.04	UVV
1664.0639999999999	12.738	0.04	UVM2
1688.2559999999999	12.888	0.04	UVW1
1713.3120000000001	13.057	0.03	UVU
1738.368	14.109	0.03	UVB
1787.616	12.784	0.04	UVW2
1812.6719999999998	13.909	0.05	UVV
1837.728	12.778	0.04	UVM2
1862.7839999999999	12.958	0.04	UVW1
1886.1119999999999	13.147	0.03	UVU
1911.1680000000001	14.139	0.03	UVB
1961.2800000000002	12.864	0.04	UVW2
1985.472	13.969	0.05	UVV
2009.664	12.868	0.05	UVM2
23410.08	15.478	0.01	UVW1
47263.392	16.285	0.03	UVW2
47769.695999999996	16.308	0.04	UVM2
48082.46399999999	16.338	0.05	UVW1
53953.344000000005	16.648	0.05	UVW1
54121.824	16.697	0.06	UVU
59162.399999999994	16.734	0.05	UVW2
59472.575999999994	16.698	0.07	UVM2
59696.352000000006	16.688	0.06	UVW1
59829.408	16.887	0.07	UVU
98230.752	17.424	0.04	UVW2
98838.14400000001	17.328	0.13	UVM2
104003.136	17.504	0.04	UVW2
104610.52799999999	17.318	0.13	UVM2
121940.64000000001	17.724	0.06	UVW2
122555.80799999999	17.738	0.08	UVM2
127838.304	17.955	0.07	UVW2
128431.872	17.988	0.09	UVM2
128697.12	17.008	0.29	UVW1
133784.35199999998	17.844	0.07	UVW2
134300.16	17.778	0.09	UVM2
134608.608	17.658	0.11	UVW1
139736.448	17.924	0.07	UVW2
140182.272	17.978	0.1	UVM2
140501.952	17.998	0.1	UVW1
140646.24	17.837	0.22	UVU
173223.36000000002	18.174	0.06	UVW2
173832.48	18.308	0.21	UVM2
178990.56	18.434	0.07	UVW2
179598.816	18.578	0.24	UVM2
184852.8	18.314	0.07	UVW2
185460.19199999998	17.948	0.15	UVM2
196331.90399999998	18.444	0.07	UVW2
196939.29599999997	18.398	0.21	UVM2
214345.44000000003	18.428	0.17	UVW1
214470.72	18.747	0.23	UVU
214607.23200000002	18.115	0.57	UVW2
220685.472	18.768	0.14	UVW1
220769.28	18.777	0.17	UVU
221019.84	18.424	0.12	UVW2
221371.488	18.248	0.17	UVM2
236887.2	18.774	0.1	UVW2
237025.44	18.778	0.11	UVM2
237112.704	18.798	0.1	UVW1
253835.424	19.067	0.15	UVU
319118.39999999997	19.334	0.1	UVW2
319771.584	19.538	0.12	UVW1
358461.504	19.537	0.15	UVU
364112.064	19.288	0.14	UVM2
444626.496	19.714	0.14	UVW2
444807.072	19.488	0.16	UVM2
444989.376	19.948	0.24	UVW1
461642.11199999996	19.937	0.33	UVU
496085.47199999995	19.977	0.27	UVU
502468.704	19.804	0.13	UVW2
502936.12799999997	19.839	0.17	UVM2
503262.72	19.728	0.17	UVW1
503343.936	19.667	0.24	UVU
611934.048	19.897	0.15	UVU
617931.936	20.014	0.15	UVW2
618240.3840000001	20.158	0.23	UVM2
618579.936	19.988	0.23	UVW1
711451.296	20.524	0.4	UVW2
1.0262807999999999e6	20.74	0.11	UVU
1.051582176e6	20.44	0.1	UVW2
1.090279008e6	20.42	0.13	UVM2
1.093095648e6	20.66	0.17	UVW1
1.741783392e6	21.95	0.44	UVU
1.890679968e6	20.78	0.11	UVW2
