GRB	GCN	Telescope
020124	1224	2.5m-NOT
020124	1221	palomar-48-inch,MSO-50-inch,Palomar-60inch
020405	28550	Zeiss-1000-1m
020405	1431	ESO-VLT3-(Melipal)
020405	1424	USNOFS-1.0m
020405	1388	damish-1.54m,NTT-3.58m-ESO
020405	1345	ESO-VLT3-(Melipal)
020405	1335	WISE-1m
020405	1337	ESO-VLT3-(Melipal)
020405	1333	robotic-MSO-50-inch
020405	1329	danish-1.5m-la-silla
020405	1327	4.2m-William_Herschel
020405	1326	robotic-MSO-50-inch
020405	1340	KECK-ii-ESI
020813	1500	VLT,TNG
020813	1668	Katzman-Automatic-Imaging
020813	1651	1.54m-Danish
020813	1528	ZEISS-1000-SAO
020813	1513	Baade-6.5m-(Magellan-i)
020813	1505	60cm-Schmidt,1.1m-AZT-24
020813	1503	USNOFS-1.0m
020813	1501	BAO-1.01m
020813	1498	ESO-VLT3-(Melipal)
020813	1473	0.8m-KAIT
020813	1491	0.8m-KAIT
020813	1488	TUG-RTT150-1.5m
020813	1485	1.05m-Schmidt
020813	1484	our-0.8m,f/8-+-ccd
020813	1478	usno-1.55m-strand-astrometric
020813	1477	KECK-i-10m
020813	1474	ctio-4m-blanco
020813	1472	Magellan-Baade-6.5m-tek5
020813	1492	0.6m-super-lotis
020903	1562	0.25m-RIKEN
020903	1761	CTIO-4m
020903	1631	1.54m-Danish
020903	1609	Keck-I-10m
020903	1571	USNOFS-1.0m
020903	1563	Italian-3.5m-TNG,Asiago
020903	1561	Cima-Ekar-Asiago-182cm
020903	1554	MDM-1.3m
020903	1557	CTIO-4m
020903	1535	0.38m-Cassegrain
020903	1537	25cm-kyoto
020903	1560	Cima-Ekar-Asiago-182cm
020903	1533	Mount-Stromlo-50-inch
021004	1605	Keck-I-10m
021004	1606	SAO-RAN-1m-Zeiss
021004	1607	3.6m-TNG
021004	1611	4.2m-WHT
021004	1614	**WARNING**
021004	1615	1.20m-OHP/CNRS
021004	1616	1.1m-AZT-24,60cm-Schmidt,Crimea/AZT-8
021004	1620	WMKO-Keck-1
021004	1621	Bellatrix-Astronomical-Obs-0.15m
021004	1622	ESO-VLT-UT3-(Melipal)
021004	1628	KPNO/SARA-0.9m
021004	1630	USNOFS-1.0m
021004	1638	SARA-0.9m
021004	1652	Steward/90-inch-Bok
021004	1654	1m-Zeiss
021004	1661	1.8m-Vatican-Advanced-Technology
021004	1717	6m-SAO_RAS
021004	1889	KECK-II-10m
021004	5182	Tautenburg-1.34m-Schmidt
021004	6851	ESO-VLT
021004	1623	3.6m-TNG
021004	1601	IRTF
021004	1645	3.6m-TNG
021004	1598	1.2m-CCD-AP7p
021004	1599	Magellan-6.5m-Baade
021004	1564	48-inch-Oschin/NEAT-robotic
021004	1566	0.30m-Kyoto-uni
021004	1567	(BAO)-1.01m
021004	1569	Siding-Springs-2.3m
021004	1570	Nyrola/16-inch-Meade-LX200
021004	1572	"Oschin-48"""
021004	1573	2.56m-NOT
021004	1576	Fred-Whipple-1.2m
021004	1577	SPM-84cm,1.5m
021004	1579	9.2m-Hobby-Eberly
021004	1635	ESO's-8.2m-VLT3
021004	1581	2m-HCT/HFOSC
021004	1580	TUG/1.5m-RTT150
021004	1595	ESO-VLT-UT3-(Melipal)
021004	1592	Strand-1.55m-astrometric
021004	1587	2m-HCT/HFOSC
021004	1586	Fred-L.-Whipple/1.2m
021004	1589	0.20m
021004	1584	Red-Buttes/0.6m
021004	1583	USNOFS-1.0m
021004	1582	2m-HCT/HFOSC
021004	1597	NOT
021211	1752	Crimean/0.64m-Richter-Slefogt
021211	2153	ROTSE-IIIa-robotic
021211	1765	APO/ARC-3.5m
021211	1758	CTIO-4m-mosaic
021211	1757	RAPTOR
021211	1753	USNOFS-1.0m
021211	1821	Italian-3.6m-TNG,8.2m-ESO-VLT-UT4-(Yepun)
021211	1748	Kiso/-1.05m-Schmidt
021211	1751	Magellan-Baade
021211	1733	Palomar-48-inch
021211	1737	KAIT
021211	1749	Gunma/0.65m
021211	1739	Tautenburg-Schmidt
021211	1738	Haleakala/1.2m-MSSS,Palomar/Oschin-48"
021211	1744	APO/ARC-3.5m
030115	1848	3.5m-WIYN
030115	1825	Nagoya-SAAO-1.4m
030115	1822	NOFS-1.0m
030115	1820	ESO-La-Silla/Swiss-1.2m
030115	1856	0.6meter-Morehead
030115	1811	1.82m-Copernico
030115	1818	KPNO-2.1m
030115	1805	IAA's-Observatorio-de-Sierra-Nevada-1.5m
030115	1808	ARC-3.5m
030115	1806	Fred-L.-Whipple/-1.2m
030226	1908	Crimean/AT-64
030226	1940	1.52m-Loiano
030226	1935	National-Observatory-Rozhen-(Bulgaria)/2m-RCC
030226	1933	1.82m-Copernico
030226	1925	6m-SAO_RAS
030226	1923	ESO-VLT-Paranal
030226	1921	32-inch-Tenagra-II
030226	1916	USNOFS-1.0m
030226	1911	Keck-II-ESI
030226	1909	ESO-VLT-UT1-(Antu)
030226	1929	AZT-8-0.7m
030226	1905	Palomar/Oschin-48"
030226	1894	Wendelstein-0.8m
030226	1892	1.52m-Loiano
030226	1890	ANU-2.3m
030226	1885	Las-Campanas/1m-Swope
030226	1884	8.2m-Subaru
030226	1883	Las-Campanas/-Dupont
030226	1881	Las-Campanas/40-inch-Swope
030226	1879	Dupont-100-wfccd
030226	1902	Las-Campanas/1m-Swope
030323	2006	Gemini-South-8.1m
030323	1973	Danish-1.54m
030323	1968	Palomar-1.2m
030323	1966	SARA-0.9m
030323	1960	Danish-1.54m
030323	1951	Katzman-Automatic-Imaging
030323	1952	ROTSE-3B-0.45m
030323	1949	USNO-1.0m
030323	1948	USNOFS-1.0m
030323	1957	Palomar-Oschin-1.2m
030328	1993	La-Silla/Danish-1.54m
030328	2192	1.5m-UBAI
030328	2114	USNOFS-1.0m
030328	2036	Magellan-6.5m-Clay
030328	2013	Magellan-6.5m-Clay
030328	1992	La-Silla/Danish-1.54m
030328	2008	Loiano-152cm
030328	1990	1.5m-Russian-Turkish
030328	1991	Crimean/AT-64
030328	1977	SSO-40-inch
030328	1979	Magellan-6.5m-Clay
030328	1974	SSO-40-inch
030328	1981	VLT-FORS1
030328	1984	1m-WISE
030328	1980	Magellan-6.5m-Clay
030329	2160	Mt.Maidanak-High-altitude-observatory(UBAI)/1.5m
030329	2146	**WARNING**
030329	2144	125cm-(AZT-11)
030329	2143	KPNO/SARA-0.9m
030329	2142	SAO-RAS-6m
030329	2136	152cm-Loiano
030329	2131	Lick/Shane-3m
030329	2124	Padova/182cm-Copernico
030329	2122	ESO-VLT-UT1-(Antu)
030329	2119	1.5m-Russian-Turkish
030329	2118	1.5m-Gunma
030329	2117	Hobby-Eberly/Mcdonalds
030329	2112	Crimean/50-cn-Maksutov
030329	2111	National-Observatory-Rozhen-(Bulgaria)/50/70cm-Schmidt
030329	2109	FLWO-1.2m
030329	2108	1.5m-Russian-Turkish
030329	2106	Kiso/105cm-Schmidt
030329	2105	1.5m-Russian-Turkish
030329	2102	Crimea/50cm-Maksutov
030329	2101	KPNO/SARA-0.9m
030329	2100	KPNO/SARA-0.9m
030329	2098	High-altitude-Observatory-Mt.Maidanak/-1.5m
030329	2097	Cassegrain-38cm
030329	2096	SDSS-0.5m
030329	2163	IAG-USP-60cm
030329	2113	Crimean/60cm
030329	2167	ESO-VLT-UT1-(Antu)
030329	2265	1.5m-OAN-SPM
030329	2170	**WARNING**
030329	7176	Swift/UVOT
030329	2095	SDSS-0.5m
030329	7415	Lulin-1m
030329	30982	JAST/T80
030329	2517	KECK-I-10m
030329	23055	ESO-VLT-UT2
030329	2305	Subaru-8.2m
030329	2299	1.5m-Russian-Turkish
030329	2288	Maidanak-High-altitude-Observatory-(UBAI)/-1.5m
030329	2260	1.5m-Russian-Turkish
030329	2259	FLWO-1.2m
030329	2169	Keck-II-ESI
030329	2255	32-inch-Tenagra-II
030329	2246	ADAGIO/82cm
030329	2245	Guillermo-Haro/2.1m
030329	2244	FLWO-1.2m
030329	2242	Observatorio-de-Calar-Alto/2.2m-(+BUSCA)
030329	2220	TUG/1.5m-Russian-Turkish
030329	2219	Mt.Maidanak-High-altitude-Observatory(UBAI)/1.5m
030329	2204	TUG/1.5m-Russian-Turkish
030329	2198	TUG/1.5m-Russian-Turkish
030329	2193	Danish-0.4m-Brorfelde-Schmidt
030329	2191	Mt.Maidanak-High-altitude-Observatory-(UBAI)/1.5m
030329	2179	National-Astronomical-Observatory-Rozhen-(Bulgaria)/2m-RCC
030329	2171	1.5m-OAN-SPM
030329	2254	32-inch-Tenagra-II
030329	2094	1.5m-Russian-Turkish
030329	2116	Kiso/105cm-Schmidt
030329	2092	USNOFS-1.0m,1.3m
030329	2034	1m-WISE
030329	2033	SARA-0.9m
030329	2030	1.52m-Loiano
030329	2029	Tautenburg-Schmidt
030329	2028	Cassegrain-38cm
030329	2023	USNOFS-1.0m
030329	2022	SPM/1.5m,2.1m
030329	2018	Fred-L.-Whipple-1.2m
030329	2016	Campo-Catino-Automated-(0.4m-f/8)
030329	2012	FLWO-1.2m
030329	2040	ARC-3.5m,APO/GRIM-II
030329	2010	0.63m-Newton,0.30m-Newton
030329	2003	1.52m-Loiano
030329	2001	1.5m-Russian-Turkish
030329	2000	Tautenburg-Schmidt
030329	1999	WISE-1m
030329	1998	Palomar-Oschin-1.2m,Haleakala-MSSS-1.2m
030329	1995	SSO/ROTSE-3A-0.45m
030329	1989	Kyoto/30cm,25cm-SC
030329	1986	kyoto-0.25m-f/6.8
030329	1985	SSO-40-inch
030329	14631	1.34m-Schmidt
030329	14605	LBT/-2*8.4m
030329	2093	Magellan-6.5m-Clay
030329	2005	Cassegrain-38cm,CrAO/AZT-11
030329	2041	Magellan-6.5m-Clay
030329	2024	1.5m-Russian-Turkish
030329	2044	25cm/f4.8-CCD(KAF0261E)
030329	2087	KPNO/SARA-0.9m
030329	2086	KPNO/SARA-0.9m
030329	2084	High-altitude-Observatory-Mt.Maidanak/1.5m
030329	2083	Cassegrain-38cm
030329	2082	USNOFS-1.0m
030329	2080	Tokyo/30cm-SC
030329	2042	RBO-0.6m
030329	2077	High-altitude-Observatory-Mt.Maidanak/1.5m
030329	2075	SPM-1.5m,2.1m
030329	2074	0.72m-TNT
030329	2070	1m-SDSU's-Mount-Laguna
030329	2069	SARA-0.9m
030329	2067	Cassegrain-38cm
030329	2079	1.5m-Russian-Turkish
030329	2066	Maryland-Space-Grant-Consortium/20in-Morris-W.-Offit
030329	2063	KAIT
030329	2062	RBO-0.6m
030329	2059	KPNO/SARA-0.9m
030329	2056	Mount-Laguna-1m
030329	2054	1.5m-Russian-Turkish
030329	2051	1.5m-Russian-Turkish
030329	2045	1m-WISE
030329	2050	Cassegrain-38cm
030329	2049	1m-WISE
