Tstart(s)          Tend(s)    ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  LowerL   
    797.9      -9.0    -9.000    60.000 i  18.40 100.00  -9.00  -9.00  -9.00 FTS lipunov07 1 0
   1221.3      -9.0    -9.000   120.000 i  19.02   0.17  -9.00  -9.00  -9.00 FTS lipunov07 0 0
   1824.4      -9.0    -9.000   180.000 i  19.64   0.22  -9.00  -9.00  -9.00 FTS lipunov07 0 0
   2368.2      -9.0    -9.000   120.000 i  19.43   0.27  -9.00  -9.00  -9.00 FTS lipunov07 0 0
   2973.0      -9.0    -9.000   180.000 i  20.57   0.47  -9.00  -9.00  -9.00 FTS lipunov07 0 0
