Time	    Mag	        MagErr	Band	GCN
115	    >19.1	?	V	4096
77	    >18.7	?	?	4103
1536	    >19.1	?	Rc	4097
10440	    >20	        ?	I	4098
8640	    >21.7	?	J	4098
6300	    >21.5	?	R	4105
4177	    >17.8	?	?	4106
14899       >20.5   	?	 V	4107
14232.5     22.0    	0.5	 B	4107
17948       20.9    	0.3	 U	4107
17538.5     21.7    	0.4	 UVW1	4107
17058       >21.0   	?	 UVM2	4107
14739.5     22.8    	0.6	 UVW2	4107
21008       >20.3	?	  V	4109
20406.5     >21.7	?	  B	4109
23758       >20.7	?	  U	4109
23700       >20.7	?	  W1	4109
23219.5     >21.0	?	  M2	4109
20914.5     >21.1	?	  W2	4109
105 	    >15.7	?	  Rc	4112
169 	    >15.2	?	  Ic	4112
105 	    >18.3(R)	?    V+Rc+Ic	4112
19047       21.43       0.24	   R	4186
