     t      errt     Flux(Jy) errFlux
    13586.      33.        0.2113e-3   0.0074e-3  
    13690.      33.        0.2053e-3   0.0053e-3  
    13792.      33.        0.2034e-3   0.0052e-3  
    13903.      33.        0.1994e-3   0.0048e-3  
    14172.      33.        0.1867e-3   0.0053e-3  
    14271.      33.        0.1854e-3   0.0046e-3  
    14373.      33.        0.1857e-3   0.0038e-3  
    14473.      33.        0.1837e-3   0.0037e-3  
    14607.     57.5        0.1845e-3   0.0044e-3  
    14792.     57.5        0.1813e-3   0.0035e-3  
    14978.     57.5        0.1780e-3   0.0028e-3  
    15164.     57.5        0.1752e-3   0.0031e-3  
    15359.     57.5        0.1724e-3   0.0044e-3  
    15543.     57.5        0.1716e-3   0.0032e-3  
    15730.     57.5        0.1764e-3   0.0026e-3  
    15916.     57.5        0.1649e-3   0.0024e-3  
    16241.     187.5       0.1584e-3   0.0028e-3  
    16685.     187.5       0.1640e-3   0.0024e-3  
    17130.     187.5       0.1538e-3   0.0023e-3  
    17578.    187.5        0.1500e-3   0.0022e-3  
    18032.     187.5       0.1463e-3   0.0028e-3  
    18475.     187.5       0.1354e-3   0.0020e-3  
    18920.     187.5       0.1318e-3   0.0019e-3  
    19368.     187.5       0.1291e-3   0.0019e-3  
    28739.     187.5       0.0763e-3   0.0025e-3  
    29188.     187.5       0.0750e-3   0.0018e-3  
    29640.    187.5        0.0760e-3   0.0016e-3  
    30090.     187.5       0.0740e-3   0.0016e-3  
   187775.     230.        0.0055e-3   0.0009e-3  	
