      t      errt     Flux(Jy) errFlux
  13586.     33.      0.1290e-03   0.0042e-03 
  13690.     33.      0.1297e-03   0.0029e-03 
  13792.     33.      0.1261e-03   0.0030e-03 
  13903.     33.      0.1285e-03   0.0028e-03 
  14172.     33.      0.1216e-03   0.0039e-03 
  14271.     33.      0.1262e-03   0.0028e-03 
  14373.     33.      0.1264e-03   0.0028e-03 
  14473.     33.      0.1207e-03   0.0027e-03 
  14607.    57.5      0.1203e-03   0.0029e-03 
  14792.    57.5      0.1192e-03   0.0025e-03 
  14978.    57.5      0.1140e-03   0.0020e-03 
  15164.    57.5      0.1134e-03   0.0016e-03 
  15359.    57.5      0.1156e-03   0.0016e-03 
  15543.    57.5      0.1112e-03   0.0015e-03 
  15730.    57.5      0.1107e-03   0.0015e-03 
  15916.    57.5      0.1074e-03   0.0015e-03 
  16241.    187.5     0.1079e-03   0.0015e-03 
  16685.    187.5     0.1003e-03   0.0014e-03 
  17130.    187.5     0.0971e-03   0.0013e-03 
  17578.   187.5      0.0954e-03   0.0015e-03 
  18032.    187.5     0.0918e-03   0.0018e-03 
  18475.    187.5     0.0891e-03   0.0013e-03 
  18920.    187.5     0.0865e-03   0.0012e-03 
  19368.    187.5     0.0834e-03   0.0013e-03 
  28739.    187.5     0.0475e-03   0.0017e-03 
  29188.    187.5     0.0464e-03   0.0011e-03 
  29640.   187.5      0.0452e-03   0.0013e-03 
  30090.    187.5     0.0436e-03   0.0012e-03 
 
