z=   1.9685000e+00 0.
Total_Energy(erg)    8.2912683751209434e+06    9.5287431517968507e+04
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    4.6333164615277674e+03    9.9167929325617570e+03
