z=   3.2100000e+00 0.
TotalEnergy(erg)    1.7308376033723761e+50                      -NaN
TotalEnergy_common(erg)    9.3563821125878052e+49                      -NaN
Energy1(erg)    1.3680531981051190e+50                      -NaN
Energy2(erg)    2.8992041161254665e+49    1.2358663461809410e+49
Energy3(erg)    2.6561855527149375e+49    4.5339623330138087e+54
Energy4(erg)   -1.9275456161514441e+49    4.5339623330032742e+54
T_min_T_max    2.2256531864841019e+01    4.4665652801933626e+04
Interval1    2.2256531864841019e+01    1.6959345626292681e+04
Interval2    1.6959345626292681e+04    3.6647099999999999e+04
Interval3    3.6647099999999999e+04    9.4799657940275109e+04
Interval4    9.4799657940275109e+04    4.4665652801933626e+04
