Skip Singl*10^ 
log on
r*10^ad s*10^rr 1,2
skip on
! this is NON*10^
   87.2078,     4.9980,  2.61489*10^+00,   4.00778*10^-01, 
  102.2182,    10.0014,  2.49041*10^+00,   2.77886*10^-01, 
  122.2319,    10.0013,  2.11625*10^+00,   2.65447*10^-01, 
  142.2456,    10.0013,  2.12699*10^+00,   2.60925*10^-01, 
  167.1144,    14.8564,  2.39523*10^+00,   2.22259*10^-01, 
  207.4061,    20.0084,  3.34073*10^+00,   3.51609*10^-01, 
  252.4375,    25.0118,  3.26434*10^+00,   3.11986*10^-01, 
  307.4753,    30.0150,  1.98342*10^+00,   2.39052*10^-01, 
  372.5195,    35.0182,  1.52025*10^+00,   2.07295*10^-01, 
  452.5744,    45.0257,  1.18120*10^+00,   1.71865*10^-01, 
  542.3937,    44.7827,  9.24941*10^-01,   1.64003*10^-01, 
  700.9980,    35.8967,  1.46521*10^+00,   2.25257*10^-01, 
  899.1979,    86.1343,  9.94090*10^-01,   1.21384*10^-01, 
 1090.4106,   105.0674,  8.97552*10^-01,   9.83323*10^-02, 
 1308.2888,   112.7999,  1.03340*10^+00,   8.48157*10^-02, 
 1659.9455,   162.7415,  9.45845*10^-01,   1.25104*10^-01, 
 1834.4202,    11.7221,  1.12140*10^+00,   2.67801*10^-01, 
 5820.8456,   509.2961,  6.07555*10^-01,   6.85455*10^-02, 
 6997.1700,   662.4276,  5.01903*10^-01,   4.37038*10^-02, 
12213.3307,    58.3035,  4.47900*10^-01,   9.66200*10^-02, 
43354.2328,  3104.6360,  1.53955*10^-01,   3.22279*10^-02, 
54925.0903,  3104.8623,  8.26792*10^-02,   2.78148*10^-02, 
69388.7407,  5997.3957,  5.17894*10^-02,   2.19535*10^-02, 
86887.3869,  6140.1673,  3.61897*10^-02,   2.24267*10^-02, 
108155.0496,  9338.9197, -1.59698*10^-02,   3.62199*10^-02, 
134281.8992, 11369.4532,  3.11208*10^-02,   2.15522*10^-02, 
165686.8675, 15064.4116,  4.78316*10^-03,   1.70586*10^-02, 
206086.5547, 20564.7951, -1.35766*10^-02,   1.74912*10^-02, 
255446.8343, 23884.6543,  2.11203*10^-02,   1.38733*10^-02, 
313542.1262, 29089.5979, -4.19803*10^-02,   1.32099*10^-02, 
385765.4078, 38106.0266,  6.26709*10^-04,   7.13721*10^-03, 
475256.8627, 47194.8834,  2.32247*10^-03,   5.13552*10^-03, 
530395.9652,  3635.5892, -1.34147*10^-02,   1.36650*10^-02
