z=   3.2100000e+00 0.
TotalEnergy(erg)    3.8095319724926900e+05                      -NaN
TotalEnergy_common(erg)    8.2997624660022033e+05                      -NaN
Energy1(erg)    7.9366410865555494e+05                      -NaN
Energy2(erg)    1.4469553751816769e+05    6.1680495094028876e+04
Energy3(erg)    4.4880957619378642e+04    7.6609320876646709e+09
Energy4(erg)    3.7778507002637096e+04   -8.8862399059094086e+09
T_min_T_max    2.2256531864841019e+01    4.4665652801933626e+04
Interval1    2.2256531864841019e+01    1.6959345626292681e+04
Interval2    1.6959345626292681e+04    3.6647099999999999e+04
Interval3    3.6647099999999999e+04    9.4799657940275109e+04
Interval4    9.4799657940275109e+04    4.4665652801933626e+04
