date	time	exp	mag	magerr	band	source
2017-06-08	04:23:59	540	18.57	0.08	g	manual
2017-06-08	04:23:59	540	18.36	0.06	r	manual
2017-06-08	04:23:59	540	18.22	0.05	i	manual
2017-06-10	04:41:31	2700	20.7	0.05	r	manual
2017-06-07	23:19:22	147	15.76	0.02	white	manual
2017-06-07	23:27:33	461	17.11	0.03	white	manual
2017-06-08	01:12:53	197	17.5	0.04	white	manual
2017-06-07	23:28:23	313	17.51	0.11	v	manual
2017-06-07	23:27:09	132	17.63	0.09	b	manual
2017-06-07	23:22:53	246	16.14	0.04	u	manual
2017-06-07	23:29:37	210	16.8	0.06	u	manual
2017-06-08	01:05:32	1601	17.68	0.04	u	manual
2017-06-07	23:32:05	313	16.87	0.06	uvw1	manual
2017-06-08	00:52:58	197	16.86	0.09	uvm2	manual
2017-06-07	23:46:38	216	17.04	0.07	uvw2	manual
