time_sec	flux	flux_err	band_init	band_norm	source
22752	2.786482957855274e-13	5.13304396402262e-14	r	R	22562
48852	1.2275986191612675e-13	1.0177435554287017e-14	r	R	22564
48852	1.0371791839422659e-13	9.61783071963422e-15	i	R	22564
3234	2.214926299933887e-12	1.445657460199744e-13	v_swift	R	22565
3606.5	1.5061497572684478e-12	7.774424352847406e-14	b_swift	R	22565
3376.5	1.4966007720392103e-12	7.705223741496794e-14	u_swift	R	22565
27629	3.0137412670181316e-13	2.2248861976967126e-14	u_swift	R	22565
3463.5	2.3848323125399434e-13	3.317836221266124e-14	uvw1_swift	R	22565
68256	1.1718524509208112e-13	2.2665635871301887e-14	R	R	22571
48853.25	1.0903828578807554e-13	1.5279897074659174e-14	r	R	nissim
48996.45	1.1072853753741553e-13	1.3530426682261141e-14	i	R	nissim
