      t      errt     Flux(Jy) errFlux
   13586.      33.      0.1800e-03   0.0050e-03  
   13690.      33.      0.1772e-03   0.0034e-03
   13792.      33.      0.1785e-03   0.0035e-03
   13903.      33.      0.1757e-03   0.0036e-03
   14172.      33.      0.1670e-03   0.0048e-03
   14271.      33.      0.1637e-03   0.0041e-03
   14373.      33.      0.1646e-03   0.0033e-03
   14473.      33.      0.1614e-03   0.0033e-03
   14607.     57.5      0.1616e-03   0.0039e-03
   14792.     57.5      0.1588e-03   0.0031e-03
   14978.     57.5      0.1579e-03   0.0025e-03
   15164.     57.5      0.1538e-03   0.0027e-03
   15359.     57.5      0.1514e-03   0.0039e-03
   15543.     57.5      0.1515e-03   0.0028e-03
   15730.     57.5      0.1486e-03   0.0023e-03
   15916.     57.5      0.1440e-03   0.0025e-03
   16241.     187.5     0.1397e-03   0.0024e-03
   16685.     187.5     0.1374e-03   0.0020e-03
   17130.     187.5     0.1345e-03   0.0020e-03
   17578.    187.5      0.1304e-03   0.0019e-03
   18032.     187.5     0.1251e-03   0.0018e-03
   18475.     187.5     0.1205e-03   0.0018e-03
   18920.     187.5     0.1175e-03   0.0017e-03
   19368.     187.5     0.1164e-03   0.0017e-03
   28739.     187.5     0.0659e-03   0.0016e-03
   29188.     187.5     0.0636e-03   0.0015e-03
   29640.    187.5      0.0649e-03   0.0013e-03
   30090.     187.5     0.0642e-03   0.0014e-03
  187775.     230.      0.0051e-03   0.0009e-03
