z=   1.9685000e+00 0.
Total_Energy(erg)    1.0462350670355944e+06    3.5339410300372720e+03
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    4.5767222223583140e+03    6.3255852738358037e+04
