z=   1.9685000e+00 0.
Total_Energy(erg)    6.6832794537044268e+52    2.6884682386165944e+54
   2.6877701e+54   2.6894612e+54                     -NaN   2.6944410e+54   2.6888635998586292e+54
   2.6900363e+54   2.6894612e+54                     -NaN   2.8380239e+54   2.6894954270638901e+54
   2.6894932e+54   2.6894612e+54                     -NaN   2.6892905e+54   2.6894611534439815e+54
            -NaN   2.6894676e+54   2.6897869557362880e+54   2.6895248e+54   2.6894611534439815e+54
            -NaN   2.7050968e+54   2.6894752060261660e+54   2.6894569e+54   2.6894611534439815e+54
            -NaN   2.6894612e+54   1.1457385585084353e+56   2.6950864e+54   2.6886023282985994e+54
   2.6900803e+54   2.6894612e+54                     -NaN   2.8601960e+54   2.6894995944162839e+54
   2.6894996e+54   2.6894612e+54                     -NaN   2.6894612e+54   2.6894611534439815e+54
   2.6894612e+54   2.6894612e+54   2.6894611534439815e+54   2.6894612e+54   2.6894611534439815e+54
   2.6894612e+54   2.6894612e+54   2.6894611534439815e+54   2.6894612e+54                     -NaN
   1.5270308e+56            -NaN   2.6894611534439815e+54   7.4235769e+59                     -NaN
            -NaN            -NaN   2.6894611534439815e+54   1.2970587e+59   2.6919245935036108e+54
   2.6875254e+54   2.6894612e+54   9.2539998463241332e+56   2.2525895e+54   2.6893612173030037e+54
   2.6893837e+54   2.6894612e+54   1.1603068793970694e+56   2.6897449e+54   2.6894611534439815e+54
            -NaN   2.8015101e+54   2.6894848203796102e+54   2.6894884e+54   2.6894611534439815e+54
            -NaN   2.6894612e+54   3.0585236437362636e+56   2.6395496e+54   2.6894492524468531e+54
   2.6894509e+54   2.6894612e+54   4.0535296882342426e+55   2.6894612e+54   2.6894611534439815e+54
   2.6894612e+54   2.6894612e+54   2.6894611534439815e+54   2.6894612e+54   5.2538983554662278e+57
   7.7654522e+55   7.8346923e+55   2.6894611534439815e+54            -NaN   2.6784313067314471e+54
   2.6682516e+54   2.6894612e+54   1.6268816964033164e+57   2.6894585e+54   2.6894611534439815e+54
   1.8601505e+55   2.6894612e+54   2.5565789202976047e+55   2.6894612e+54
Total_Energy_common(erg)    1.0566577898112522e+45    3.6078698698530086e+46
T_min_T_max    1.4957048923355595e+01    6.3255852738358037e+04
