time		mag	mag_err	band	source
146114.42	21.33	0.11	r	manual
75606.42	19.6	0.076	V	manual
75606.42	19.5	0.087	B	manual
75606.42	19.8	0.064	R	manual
75606.42	19.3	0.049	I	manual
56242.5		21.02	0.27	uvw2	manual
56826.42	21.08	0.28	uvw2	manual
103718.42	20.7	0.32	uvw1	manual
257414.42	21.2	0.4	R	manual
1210334.42	22.65	0.05	R	manual
