Time         Mag	MagErr	Band	GCN
86           >17.3         ?	C	29098
126          >17.2         ?	C	29098         
170          >17.5         ?	C	29098         
225          >17.6         ?	C	29098         
399	     >17.5	   ?	R(Vega)	29099
2100	     19.76	0.04	z	29100
216.	>20.0	?	white_FC	29109
424.5	>19.1	?	u_FC	29109
546.	>20.2	?	white	29109
2695.5	>18.8	?	v	29109
651.5	>18.3	?	b	29109
2785.5	>19.5	?	u	29109
2925.5	>19.4	?	w1	29109
2810.5	>19.2	?	m2	29109
2581.	>19.4	?	w2	29109
92	>17.9		?		g		29149
92	>17.8		?		r		29149
92	>17.7		?		i		29149
92	15.8 		0.3		z		29149
