Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes
47863.	 -9.  -9.  -9. 300.	IC	19.36   0.09	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn   
50548.	 -9.  -9.  -9. 300.	IC	19.34   0.08	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn  	
52581.	 -9.  -9.  -9. 300.	IC	19.42   0.13	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn  	
53558.	 -9.  -9.  -9. 300.	IC	19.51   0.08	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn  	
52186.	 -9.  -9.  -9. 1800.	ii	19.91   0.03	 -9.  -9.  -9. LT      page09 0 NNN  0. 0. 0 nnn  	
124762.	 -9.  -9.  -9. 1800.	ii	20.67   0.06	 -9.  -9.  -9. LT      page09 0 NNN  0. 0. 0 nnn  	
174122.	 -9.  -9.  -9. 1500.	ii	21.11   0.06	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn  	
177534.	 -9.  -9.  -9. 1800.	ii	21.08   0.05	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn  	
224122.	 -9.  -9.  -9. 1800.	ii	21.54   0.06	 -9.  -9.  -9. LT      page09 0 NNN  0. 0. 0 nnn  	
242905.	 -9.  -9.  -9. 1800.	ii	21.60   0.07	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn  	
261896.	 -9.  -9.  -9. 1800.	ii	21.66   0.07	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn  	
311386.	 -9.  -9.  -9. 900.	ii	21.90   0.09	 -9.  -9.  -9. INT     page09 0 SDSS 0. 0. 0 nnn  	
401674.	 -9.  -9.  -9. 1200.	ii	22.63   0.10	 -9.  -9.  -9. INT     page09 0 SDSS 0. 0. 0 nnn  	
3320.	 -9.  -9.  -9. 300.	RC	15.95   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
3697.	 -9.  -9.  -9. 180.	RC	16.30   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
3886.	 -9.  -9.  -9. 180.	RC	16.27   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
4075.	 -9.  -9.  -9. 180.	RC	16.46   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
4263.	 -9.  -9.  -9. 180.	RC	16.48   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
4453.	 -9.  -9.  -9. 180.	RC	16.66   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
4712.	 -9.  -9.  -9. 300.	RC	16.39   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn  	
5689.	 -9.  -9.  -9. 300.	RC	16.97   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn	
6624.	 -9.  -9.  -9. 300.	RC	16.84   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn	
7422.	 -9.  -9.  -9. 300.	RC	16.97   0.12	 -9.  -9.  -9. FTS     page09 0 SDSS 0. 0. 0 nnn	
244918.	 -9.  -9.  -9. 1800.	RC	21.55   0.09	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn	
265404.	 -9.  -9.  -9. 1800.	RC	21.56   0.06	 -9.  -9.  -9. FTN     page09 0 SDSS 0. 0. 0 nnn	
38117.	 -9.  -9.  -9. 120.	RC	19.31   0.07	 -9.  -9.  -9. NOT     page09 0 SDSS 0. 0. 0 nnn	
43110.	 -9.  -9.  -9. 300.	RC	19.66   0.07	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn	
47548.	 -9.  -9.  -9. 300.	RC	19.78   0.04	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn	
48212.	 -9.  -9.  -9. 300.	RC	19.81   0.06	 -9.  -9.  -9. OSN     page09 0 NNN  0. 0. 0 nnn	
