gcn	mag	mag_err	band
330	19.1	0.02	as
315	18.31	0.02	ch
315	18.30	0.02	ch
315	19.23	0.07	ch
315	19.31	0.07	ch
315	19.25	0.04	ch
328	21.05	0.13	I
328	21.86	0.08	V
328	21.17	0.13	I
328	22.41	0.06	V
328	21.35	0.07	I
328	22.46	0.05	V
328	22.54	0.06	V
328	21.33	0.07	I
309	78.074	0.034	of
386	27.0	0.2	V
386	27.8	0.3	nd
319	20.47	0.05	B
346	26.7	0.3	m
313	19.17	0.02	m
313	19.25	0.02	m
313	19.61	0.01	m
756	80.5	1.5	PA
756	28.5	0.5	st
310	19.2	0.3	R
332	23.7	0.1	R
