time, mag, err, band,source,time_unconverted
0,,,,,Trigger time 12:00:53 UT
10434,15,0,R,2988,14:54:47                      
10484,15,0,R,2988,14:55:37                      
10533,15.3,0,R,2988,14:56:26                      
12483,15.6,0,R,2988,15:28:56                      
12070,16.5,0,R,2988,15 16 06 to 15 28 00 - 8 imgs- mean time 15:22:03 
12783,17,0,R,2988,15 14 07 - 15 53 45 - 42 imgs- mean time 15:33:56 
302906.64,19.45,0.17,Ks, arXiV_astro-ph-0502468,Jan 26.5001 for 8.3 min
