Time	Mag	MagErr	Filter	Telescope	GalExtCorr	Source
240	22.8	0	r	2.2m-MPI/ESO	no	7231
240	21.5	0	i	2.2m-MPI/ESO	no	7231
240	20.6	0	z	2.2m-MPI/ESO	no	7231
240	18.9	0	J	2.2m-MPI/ESO	no	7231
240	18.1	0	H	2.2m-MPI/ESO	no	7231
240	17	0	K	2.2m-MPI/ESO	no	7231
2640	22.93	0.06	R	Gemini-South	no	7233
3000	22.86	0.05	R	Gemini-South	no	7233
3360	22.78	0.04	R	Gemini-South	no	7233
3720	22.56	0.04	R	Gemini-South	no	7233
4080	22.87	0.05	R	Gemini-South	no	7233
4199.5	21.3	0	v	Swift/UVOT	no	7246
5216	22.2	0	b	Swift/UVOT	no	7246
4568	21.5	0	u	Swift/UVOT	no	7246
4315	21.3	0	uvw1	Swift/UVOT	no	7246
4158.5	21.2	0	uvm2	Swift/UVOT	no	7246
5505	21.7	0	uvw2	Swift/UVOT	no	7246
4635	23.1	0	white	Swift/UVOT	no	7246
