z=   1.4080000e+00 0.
TotalEnergy(erg)    3.0253468379061981e+50    4.2285606668858687e+49
TotalEnergy_common(erg)    7.6156033610709411e+49    1.7843222222178809e+49
Energy1(erg)    2.8454130410710601e+50    2.3425358412886213e+51
Energy2(erg)   -9.9194333066910993e+49    2.3256626265182864e+51
Energy3(erg)    1.1718771275030637e+50    1.4269928341108809e+49
T_min_T_max    4.2898671232263655e+02    1.6359339752828845e+05
Interval1    4.2898671232263655e+02    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    2.7264652117773334e+04
Interval3    2.7264652117773334e+04    1.6359339752828845e+05
