Time	Mag	MagErr	Band	GCN
600	>15.9	?	?	10257
2873	>17.3	?	?	10257
738.72	18.4	0.2	g'	10258
738.72	17.6	0.1	Rc	10258
738.72	17.0	0.2	Ic	10258
1395.36	18.5	0.2	g'	10258
1395.36	18.1	0.2	Rc	10258
1395.36	17.4	0.2	Ic	10258
78	17.2	0.2	g'	10260
78	16.1	0.1	Rc	10260
78	15.5	0.1	Ic	10260
572	17.75	0.02	R	10262
1656	18.48	0.03	R	10262
1036	17.51	0.05	I	10262
3749	18.34	0.04	I	10262
194	17.92	0.04	wh	10267
596.5	18.38	0.29	b	10267
458	18.63	0.09	u	10267
39556.1	>20.9	?	R	10269
55020	22.64	0.15	g'	10271
55020	21.88	0.14	r'	10271	
55020	21.65	0.17	i'	10271
55020	21.35	0.17	z'	10271
55020	20.61	0.10	J	10271
55020	20.5	0.3	H	10271
22803	20.15	0.25	R	10273
30063	20.60	0.25	R	10273
33663	20.9	0.3	R	10273
37743	21.0	0.3	R	10273
1551.74	18.8	0.1	Rc	10275
1963.87	18.4	0.1	Ic	10275
1800	>20.0	?	R	10279
