Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
  20797.  -9. -9. -9.    60.0  RC  20.17   0.03 -9. -9. -9. GCN11963 TNG 0 NNN 0. 0. 0 nnn
  21362.  -9. -9. -9.    60.0  RC  20.24   0.05 -9. -9. -9. GCN11963 TNG 0 NNN 0. 0. 0 nnn
  21593.  -9. -9. -9.    60.0  RC  20.03   0.05 -9. -9. -9. GCN11963 TNG 0 NNN 0. 0. 0 nnn
  28987.  -9. -9. -9.    60.0  RC  20.24   0.04 -9. -9. -9. GCN11963 TNG 0 NNN 0. 0. 0 nnn
17285. -9. -9. -9. 300. clear 19.5 0.7 -9. -9. -9. THO GCN11966 0 NNN 0. 0. 0 nnn    
17535. -9. -9. -9. 300. clear 19.6 0.8 -9. -9. -9. THO GCN11966 0 NNN 0. 0. 0 nnn     
18152. -9. -9. -9. 300. clear 19.4 0.7 -9. -9. -9. THO GCN11966 0 NNN 0. 0. 0 nnn     
18462. -9. -9. -9. 300. clear 19.7 0.9 -9. -9. -9. THO GCN11966 0 NNN 0. 0. 0 nnn 
1054. 1766. -9. -9. -9. white    19.5  0.23  -9. -9. -9. UVOT GCN11969 0 NNN 0. 0. 0 nnn
7837. 8037. -9. -9. -9. white    20.4  100.  -9. -9. -9. UVOT GCN11969 1 NNN 0. 0. 0 nnn
1104. 2336. -9. -9. -9. v        18.72 0.35  -9. -9. -9. UVOT GCN11969 0 NNN 0. 0. 0 nnn
1029. 1049. -9. -9. -9. b        18.02 0.3   -9. -9. -9. UVOT GCN11969 0 NNN 0. 0. 0 nnn
1202. 2435. -9. -9. -9. b        18.97 0.22  -9. -9. -9. UVOT GCN11969 0 NNN 0. 0. 0 nnn
1004. 2410. -9. -9. -9. u        18.8  0.26  -9. -9. -9. UVOT GCN11969 0 NNN 0. 0. 0 nnn
 980. 2385. -9. -9. -9. uvw1     19.4  100.  -9. -9. -9. UVOT GCN11969 1 NNN 0. 0. 0 nnn
1128. 2360. -9. -9. -9. uvm2     19.4  100.  -9. -9. -9. UVOT GCN11969 1 NNN 0. 0. 0 nnn
1079. 2310. -9. -9. -9. uvw2     19.6  100.  -9. -9. -9. UVOT GCN11969 1 NNN 0. 0. 0 nnn
    59.8 -9. -9. -9. 10.  RC 14.89	0.29 -9. -9. -9. MASTER GCN12007 0 NNN 0. 0. 0 nnn 		         
    97.9 -9. -9. -9. 20.  RC 15.03	0.17 -9. -9. -9. MASTER GCN12007 0 NNN 0. 0. 0 nnn 		 	
   144.0 -9. -9. -9. 30.  RC 16.04	0.47 -9. -9. -9. MASTER GCN12007 0 NNN 0. 0. 0 nnn 		         
   198.4 -9. -9. -9. 40.  RC 15.73	0.38 -9. -9. -9. MASTER GCN12007 0 NNN 0. 0. 0 nnn 		  	
   262.4 -9. -9. -9. 50.  RC 16.35	0.41 -9. -9. -9. MASTER GCN12007 0 NNN 0. 0. 0 nnn 		 	
