#(Delta)tstart(hr) 	AB0 mag		±error	Filter 		
1.372 		22.69 		 0.05		J 	
#1.898 		23.69		nan		Y 	
3.241 		22.73 		 0.09		H 	
3.442 		22.73 		 0.10		K 	
#3.705 		24.26		nan		Y 	
4.311 		22.99 		 0.16		J 	
23.79 		23.52 		 0.29		J 	
2.164 		26.43		nan		r 	
2.473 		26.20		nan		i 	
2.781 		25.05		nan		z 	
1.461 		22.15 		 0.18		K 	
2.036 		22.38 		 0.14		H 	
2.565 		22.85 		 0.25		J 	
4.331 		22.63 		 0.32		K 	
4.852 		22.84 		 0.32		J 	
23.66 		22.51		nan		H 	
#18.52 		22.48 		 0.27		Ks	 
18.91 		22.66 		 0.29		H 	
19.31 		23.30 		 0.33		J 	
67.82 		24.16 		 0.34		J 	
18.58 		25.53		nan		z	
#102.2 		25.49 		 0.12		F140W 	
#120.0 		26.02 		 0.14		F140W 	
#156.5 		26.20 		 0.19		F140W 	
#172.5 		26.66 		 0.21		F140W 	
#477.3 		27.46		nan		F140W 	
