Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            173.0000               5.0000    2.0137233726543082e-13    7.4188312844326998e-15
            189.0000               5.0000    1.9588438193977424e-13    5.4124856494726991e-15
            205.0000               5.0000    1.7538797342148018e-13    4.8461489365993637e-15
            220.0000               5.0000    1.5995573263352512e-13    7.3662339220764498e-15
            235.0000               5.0000    1.5848924964027186e-13    7.2986998825443999e-15
           1641.0000             150.0000    1.3803836081569981e-14    1.1442422916923810e-15
           4649.0000               0.0010    5.3456409762657491e-15    3.9388139452134947e-16
           8820.0000               0.0010    2.4434293276678318e-15    2.0254334787500783e-16
          12562.0000               0.0010    1.5559648410500575e-15    1.1464772964366003e-16
          16674.0000               0.0010    1.1481530329429197e-15    8.4599044295598804e-17
          21359.0000               0.0010    8.5506627081442009e-16    7.0879064593635143e-17
