T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
-9.	-9.	319.	10.	14.49	0.01	rr	LT	melandri08
-9.	-9.	345.	10.	14.56	0.02	rr	LT	melandri08
-9.	-9.	371.	10.	14.61	0.02	rr	LT	melandri08
-9.	-9.	437.	10.	14.78	0.05	rr	LT	melandri08
-9.	-9.	465.	10.	14.85	0.02	rr	LT	melandri08
-9.	-9.	491.	10.	14.92	0.05	rr	LT	melandri08
-9.	-9.	723.	30.	15.38	0.05	rr	LT	melandri08
-9.	-9.	953.	30.	15.73	0.03	rr	LT	melandri08
-9.	-9.	1250.	60.	16.08	0.04	rr	LT	melandri08
-9.	-9.	1570.	60.	16.39	0.07	rr	LT	melandri08
-9.	-9.	1890.	60.	16.61	0.03	rr	LT	melandri08
-9.	-9.	2200.	60.	16.81	0.03	rr	LT	melandri08
-9.	-9.	2510.	60.	16.98	0.04	rr	LT	melandri08
-9.	-9.	2820.	60.	17.17	0.04	rr	LT	melandri08
-9.	-9.	3120.	60.	17.25	0.03	rr	LT	melandri08
-9.	-9.	3440.	60.	17.54	0.04	rr	LT	melandri08
-9.	-9.	4140.	60.	17.53	0.04	rr	LT	melandri08
-9.	-9.	4350.	120.	17.68	0.04	rr	LT	melandri08
-9.	-9.	4900.	240.	17.82	0.05	rr	LT	melandri08
-9.	-9.	5890.	360.	18.05	0.04	rr	LT	melandri08
-9.	-9.	7360.	480.	18.36	0.06	rr	LT	melandri08
-9.	-9.	21200.	900.	19.66	0.14	RB	LT	melandri08
-9.	-9.	22200.	900.	19.74	0.15	RB	LT	melandri08
40.	-9.	-9.	5.	15.3	0.3	zz	REM	molinari07
479.	-9.	-9.	100.	13.26	0.06	zz	REM	molinari07
1110.	-9.	-9.	100.	14.7	0.09	zz	REM	molinari07
2420.	-9.	-9.	100.	15.58	0.12	zz	REM	molinari07
292.	-9.	-9.	100.	12.33	0.05	J	REM	molinari07
906.	-9.	-9.	150.	13.82	0.06	J	REM	molinari07
