Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             81.0000               0.0010    1.5210663695927986e-16    4.9335810410653698e-17
             97.0000               0.0010    2.6700277061102966e-16    7.2915168971562670e-17
            112.0000               0.0010    4.3922491873782908e-16    1.4279391028642912e-16
            127.0000               0.0010    4.7894072989444293e-16    1.3492668625371167e-16
            142.0000               0.0010    4.3449758916985549e-16    1.0992688483164025e-16
            173.0000               0.0010    4.8103133937510788e-16    3.9194124101275101e-17
            189.0000               0.0010    4.6465409775936575e-16    3.5179356024764580e-17
            205.0000               0.0010    4.0453469101885210e-16    3.0911243895490496e-17
            220.0000               0.0010    3.6042173245511917e-16    3.2361084906933209e-17
            235.0000               0.0010    3.5628420534728874e-16    3.2007498045993302e-17
            318.6000               0.0010    1.0413572904737743e-16    1.4386883055321882e-18
            342.0000               0.0010    1.7391064474262243e-16    1.7027181372631668e-17
            345.0000               0.0010    9.7095647306747614e-17    1.7885679721541415e-18
            370.8000               0.0010    9.3067867124310285e-17    1.7143735171707414e-18
            436.8000               0.0010    7.9652563980757670e-17    3.6681362344149406e-18
            465.0000               0.0010    7.4541780089658774e-17    1.3731103726464959e-18
            490.8000               0.0010    6.9630539359006238e-17    3.2066049312151330e-18
            604.0000               0.0010    1.1480599383753434e-16    3.2387320230188191e-17
            723.0000               0.0010    4.5582669596445674e-17    2.0991595706634044e-18
            952.8000               0.0010    3.3143605760375322e-17    9.1579169698667628e-19
            981.0000               0.0010    3.6899948083680676e-17    4.1321188327078391e-18
           1251.0000               0.0010    2.3966231626961962e-17    8.8294862829001190e-19
           1458.0000               0.0010    2.7223712718140189e-17    8.5395684839428098e-18
           1569.0000               0.0010    1.8080055134730684e-17    1.1823166123546851e-18
           1641.0000               0.0010    1.6709203565905037e-17    2.2562070451430503e-18
           1888.2000               0.0010    1.4763854251634654e-17    4.3513640567803963e-19
           2202.0000               0.0010    1.2234880953553171e-17    3.4933100583429476e-19
           2221.0000               0.0010    1.1505909336762343e-17    1.4280717785011110e-18
           2512.2000               0.0010    1.0442386101223735e-17    3.3662276569819183e-19
           2738.0000               0.0010    6.5257396601080943e-18    2.7133620948262891e-18
           2821.8000               0.0010    8.7983198456583900e-18    3.0793498668890820e-19
           3124.8000               0.0010    8.1283003953809377e-18    2.3956612941541615e-19
           3444.0000               0.0010    6.2287334123398661e-18    2.1226439892226786e-19
           4144.8000               0.0010    6.2863671738690125e-18    2.0264854064475980e-19
           4351.8000               0.0010    5.5004692713115173e-18    1.9757866304594007e-19
           4649.0000               0.0010    5.2910095152627296e-18    1.5837137815214621e-19
           4649.0000               0.0010    4.9533445954394625e-18    6.0912725959308564e-19
           4649.0000               0.0010    6.4555097864960161e-18    2.2417011839943313e-18
           4649.0000               0.0010    5.0870141106778884e-18    6.6671370750723958e-19
           4902.6000               0.0010    4.8350363333290134e-18    2.4047459076325467e-19
           4958.0000               0.0010    3.4464099843740789e-18    1.2771027108325393e-18
           5884.0000               0.0010    3.7580429593450719e-18    1.4120037960572632e-18
           5890.8000               0.0010    3.9156128097495519e-18    1.4425651112349794e-19
           6809.0000               0.0010    3.0267331890153075e-18    1.1295428717943999e-18
           7360.8000               0.0010    2.9457761304468065e-18    1.5193696897187355e-19
           7734.0000               0.0010    2.3598724888210009e-18    9.3712489550635083e-19
           8820.0000               0.0010    2.3137249894042229e-18    8.6976392158804848e-20
           8820.0000               0.0010    2.1408889308014918e-18    7.9698981602553450e-19
           8820.0000               0.0010    1.9418109066298169e-18    2.5942802466858088e-19
           8820.0000               0.0010    1.9064742155434675e-18    2.7304454396438031e-19
          12562.0000               0.0010    1.3764198711932456e-18    4.3226759497672462e-20
          12562.0000               0.0010    1.2157966238148240e-18    1.5349014480673997e-19
          12562.0000               0.0010    1.0827318998007864e-18    1.4880992469690910e-19
          16674.0000               0.0010    7.0043030719144776e-19    9.7481690017439768e-20
          16674.0000               0.0010    8.7584918648463737e-19    3.3703207531137177e-20
          16674.0000               0.0010    7.3967770707487357e-19    1.0285241344444527e-19
          21359.0000               0.0010    5.2607217005009357e-19    3.3335761476234030e-20
          21359.0000               0.0010    3.7910204355386858e-19    6.0949288412135653e-20
          21359.0000               0.0010    5.1118597207209953e-19    7.5893916978293118e-20
          62726.4000               0.0010    1.5212665626074833e-19    6.1079224678517899e-21
          69552.0000               0.0010    2.0497180309084370e-19    6.8789150704434391e-21
          89899.0000               0.0010    8.5618677619784194e-20    1.8906015010991511e-20
          89899.0000               0.0010    1.1290597297364532e-19    1.1320866014142345e-20
