time_sec	flux	flux_err	band_init	band_norm	source
42966.8	3.023584644293294e-14	8.398735522159975e-15	I	R	6788
46422.8	2.005318139520624e-14	1.846966261908297e-15	R	R	8
133687	4.5939184593362625e-15	1.269346579547742e-15	R	R	8
219223	2.4109226792388057e-15	1.1102709243153078e-15	R	R	11
214903	6.317163698631671e-15	2.334272923991838e-15	I	R	6793
46111.8	2.979773697638356e-14	2.7444729986711303e-15	R	R	16
40374.8	3.275830511859006e-14	8.02537078935915e-15	J	R	6796
46422.7	1.6372064308382516e-14	1.6942779714581784e-15	V	R	nature29935
46422.7	2.005318139520624e-14	1.8469662619082968e-16	R	R	nature29935
133687	4.5939184593362625e-15	1.269346579547742e-15	R	R	nature29935
219223	2.4109226792388057e-15	1.1102709243153078e-15	R	R	nature29935
45558.7	2.7575419693055612e-14	1.2840830277654791e-15	I	R	nature29935
132823	5.761321767137741e-15	2.1288822086955656e-15	I	R	nature29935
214903	6.317163698631671e-15	2.334272923991838e-15	I	R	nature29935
40374.7	3.275830511859006e-14	8.02537078935915e-15	J	R	nature29935
