152	19.6	0	white_swift	9198
963	18	0	i'	9200
1278	20	0	r'	9200
457.4	19	0	i'	9200
2022	20.8	0	r'	9200
1845	20.5	0	i'	9200
941	21.5	0	r'	9201
1181	21.5	0	i'	9201
1301	20.5	0	z'	9201
1241	17.5	0	K	9202
10490	16.5	0	Unfiltered	9207
12128.5	19.4	0	Unfiltered	9207
152	20.7	0	white_swift	9210
415	20	0	u_swift	9210
3390.5	19.6	0	v_swift	9210
3021	20.2	0	b_swift	9210
2816	20.4	0	u_swift	9210
3585.5	20.1	0	uvw1_swift	9210
3505.5	20.1	0	uvm2_swift	9210
3276	20.5	0	uvw2_swift	9210
2914.5	21.3	0	white_swift	9210
48600	23.7	0	z	9214
7	19.29	0.07	J	9209
7	18.57	0.07	H	9213
60120	25	0	g'	9215
60120	25.1	0	r'	9215
60120	24.2	0	i'	9215
60120	24	0	z'	9215
60120	21.6	0.1	J	9215
60120	21.2	0.1	H	9215
60120	20.9	0.1	K	9215
58500	26	0	z	9217
10694	20.1	0.3	J	9218
11351.2	19.3	0	H	9218
10872.6	18.7	0	Ks	9218
13716.9	20.4	0	g'	9218
13716.9	20.2	0	Rc	9218
13716.9	19.5	0	Ic	9218
200	18	0	Rc	9220
350	20	0	Rc	9220
80441	19.8	0	Y	9244
154080	22.7	0	J	9261
154080	22.3	0	H	9261
154080	21.6	0	K	9261
62207.3	24	0	R	9323
