Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
           4699.0000               0.0010    1.1694987517179946e-16    3.2314444734269441e-18
           5283.0000               0.0010    1.0964775957046286e-16    1.5148397814325204e-17
           6261.0000               0.0010    9.3756149132337779e-17    6.9082083703164946e-18
           6675.0000               0.0010    8.3176331219879341e-17    6.8947408993529195e-18
           7501.0000               0.0010    7.5857715546276828e-17    6.2880784261303385e-18
           8427.0000               0.0010    6.8548784627681648e-17    1.1364437503837693e-17
           9064.0000            1019.0000    4.9203926036232332e-17    9.0636981371788746e-18
           9466.0000               0.0010    6.6680639912407463e-17    6.1415139039407151e-18
          10632.0000               0.0010    5.8076409399118675e-17    5.3490349865294648e-18
          11941.0000               0.0010    4.5708793335079541e-17    3.7889419050514860e-18
          13352.5000             638.5000    5.3951032137415954e-17    9.9381473974798743e-18
          13409.0000               0.0010    3.4355775382423178e-17    7.2778528622200166e-18
          14698.0000             639.0000    4.9203926036232332e-17    9.0636981371788746e-18
          15056.0000               0.0010    4.9203926036232332e-17    9.5168830440378176e-18
          16042.5000             638.0000    4.3251358819225573e-17    7.1704752597270361e-18
          17085.0000             337.0000    4.4874513822322210e-17    8.2661909344121458e-18
          42160.9000               0.0010    2.2080034711727964e-17    5.2874805181118266e-18
          74202.0000             150.0000    7.7982965276633957e-18    2.1547489622749863e-19
          74202.0000             150.0000    8.0909542468674525e-18    2.2356132785419715e-19
          75498.0000             150.0000    7.8704532781062573e-18    2.1746866092452379e-19
          75966.0000             150.0000    7.7982965276633957e-18    2.1547489622749863e-19
          76398.0000             150.0000    7.7268013142947655e-18    2.1349941047535778e-19
          76902.0000             150.0000    7.4473153624047375e-18    2.0577692822979076e-19
          77334.0000             150.0000    7.4473153624047375e-18    2.0577692822979076e-19
          77334.0000             150.0000    7.5857712943508254e-18    2.7947014268350566e-19
         126432.8000               0.0010    5.3951030286291782e-18    2.4845367641225505e-19
         128929.9000               0.0010    4.9203924347987028e-18    2.7191093478577786e-19
         159954.0000             150.0000    3.1622757613924403e-18    2.3300508911969969e-19
         160926.0000             150.0000    3.7324993460135673e-18    2.0626553668444827e-19
         161286.0000             150.0000    3.6643735542664144e-18    2.0250076630028534e-19
         161646.0000             150.0000    3.3419483963534728e-18    2.1546337585531639e-19
         162006.0000             150.0000    3.4673664273176676e-18    2.2354937514069075e-19
         162474.0000             150.0000    3.1622757613924403e-18    2.0387945297973726e-19
         162978.0000             150.0000    3.4355774203635601e-18    2.2149986211981526e-19
         163740.0000             300.0000    3.3728710646019753e-18    1.5532645282546201e-19
         164388.0000             300.0000    3.0199499050127155e-18    1.9470336590414528e-19
         210937.1000               0.0010    3.0199499050127155e-18    1.9470336590414528e-19
         246474.0000             450.0000    2.5351270999405031e-18    9.3397533994837604e-20
         247884.0000             600.0000    2.5118849146396638e-18    6.9405945182694287e-20
         249906.0000             750.0000    2.3334566505977943e-18    6.4475790046621972e-20
         250644.0000             300.0000    2.4434290761569189e-18    1.8003850789942352e-19
         332838.0000             450.0000    1.8030166431506407e-18    9.9638381972567790e-20
         334026.0000             450.0000    1.8879902009495180e-18    8.6945161930560226e-20
         335106.0000             450.0000    1.7060813489052393e-18    1.2570871952422041e-19
