Time      Mag    	MagErr       Band           GCN
81360      >20.5            ?                     U             1839
79200      >20.8                ?                    UVW1           1839
78480      >21.1                ?                    UVM2           1839
75960      >21.3                ?                    UVW2           1839
155        >12.5                ?                      I            4826
335        >13.7                ?                      R            4826
395        >13.3                ?                      I            4826   
76.5       17.7            0.4                     V            4824
185        17.8            0.1                     V            4824
664.5      19.4            0.3                     V            4824
1550       >19.6                ?                      V            4824
392        >20.2                ?                      B            4824
1006.5     >20.9                ?                      B            4824
882        >20.4                ?                      U            4824
770.5      >20.4                ?                     UVW1          4824
746.5      >20.9                ?                     UVM2          4824
811        >21.1                ?                     UVW2          4824
186        18               0.14                   V            4814
393        21.0             0.5                    B            4814
935        19.6             0.4                    V            4814
1142       >21.3                ?                      B            4814
