time, mag, err,band,source
76.81,17.2,0, unfiltered, gcn2867
383.21,15.5,0,K, gcn2870
2880,14.9,0,Ks,gcn2876
5580,15.5,0,Ks,gcn2876
87305.21,16.5,0,Ks,gcn2884
98045.21,21,0.3,z,gcn2885
305.21,19.4,0,R,gcn2889
412.71,18.5,0,R,gcn2905
170100,19.9,0.2,J,gcn2916
170100,18.9,0.1,H,gcn2916
170100,17.6,0.2,Ks,gcn2916
