z=   1.1000000e+00 0.
TotalEnergy(erg)    1.6541361951640079e+05    2.1957088623589807e+04
TotalEnergy_common(erg)    6.7080614297556446e+05    1.8365171071080098e+05
Energy1(erg)    1.7859677930616876e+08   -7.0878963411143160e+08
Energy2(erg)    4.5767734818107280e+05    6.3652630945933692e+05
Energy3(erg)    4.6023892342001003e+04    8.4223282120687018e+03
T_min_T_max    1.6290476005526091e+02    3.7166932911367266e+05
Interval1    1.6290476005526091e+02    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    1.7840447486510762e+05
Interval3    1.7840447486510762e+05    3.7166932911367266e+05
