time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
345630.8	1.980050845733859e-14	3.64738844860563e-15	R	-13.723748565630322	5.538612436567356	22.2	0.2	manual
121200.0	2.4030427618137974e-14	4.427186386532393e-15	r'	-13.640755751000448	5.083502619830267	22.2	0.2	manual
9417.0	6.697615386331531e-13	6.189947349457901e-13	u	-12.22014384928665	3.9739125704197047	19.2	1.0	manual
3584.0	2.1710825796020414e-13	2.999461430070431e-14	R	-12.683748565630324	3.554368000990088	19.6	0.15	manual
-2332215.0	1.164692873113786e-12	1.4492291687412219e-13	J	-11.940465050423848	16.4	0.1		manual
-2332215.0	1.440190408350669e-12	2.1938192848697893e-13	H	-11.845808201900606	15.4	0.1		manual
-2332215.0	1.3315003746380745e-12	2.0551585299037554e-13	Ks	-11.878502562401671	15.0	0.1		manual
9417.0	4.2259096185094243e-13	3.944382719525809e-13	u	-12.42014384928665	3.9739125704197047	19.7	1.01	manual
49832.3	1.7628815715270365e-12	4.723312112617193e-13	v	-11.781998077523005	4.69751093241	17.69	0.29	manual
49826.34	3.325984372879862e-12	2.9684843984011657e-13	u	-11.52414384928665	4.697458987187484	17.46	0.05	manual
49917.14	5.731629793278404e-20	2.0625896396176265e-20	uvw1	-19.30346394614947	4.698249694506898	20.15	0.37	manual
49870.49	1.2912173927806664e-19	3.1597285157023896e-20	uvm2	-18.97520043145541	4.697843635377992	20.31	0.22	manual
49906.21	3.9906623847852926e-20	1.3187897716595553e-20	uvw2	-19.475324488537883	4.698154589730186	21.31	0.32	manual
240361.0	1.369860499072911e-14	2.5233762917173355e-15	R	-13.883748565630324	5.380864002187509	22.6	0.2	manual
240378.48	3.440934000682189e-14	1.5846086671894345e-14	R	-13.483748565630323	5.380895584646877	21.6	0.5	manual
240382.18	1.980050845733859e-14	3.64738844860563e-15	R	-13.723748565630322	5.380902269426714	22.2	0.2	manual
