time_sec	flux	flux_err	band
-2332215.0	1.3228099032128437e-12	2.041744867528105e-13	Ks
49906.21	3.347152590271229e-20	1.1061298036794404e-20	uvw2
-2332215.0	1.1469248157642533e-12	1.4271203471134501e-13	J
-2332215.0	1.4262373257876145e-12	2.172564774748961e-13	H
49832.3	1.6519691109297708e-12	4.426142877292182e-13	v
49870.49	1.0587649812695641e-19	2.590895941650949e-20	uvm2
49906.21	3.347152590271229e-20	1.1061298036794404e-20	uvw2
49917.14	4.972056485625095e-20	1.7892488811595186e-20	uvw1
240378.48	3.2828529856172864e-14	1.5118096694346718e-14	R
240382.18	1.8890847163307168e-14	3.4798226457807957e-15	R
