time_sec	flux	flux_err	band	logF	logT	mag	mag_err
345630.8	1.8890847163307168e-14	3.4798226457807953e-15	R	-13.723748565630322	5.538612436567356	22.2	0.2
121200.0	2.2868845950589966e-14	4.2131852614948774e-15	r'	-13.640755751000448	5.083502619830267	22.2	0.2
9417.0	6.02360036190845e-13	5.567021535826248e-13	u	-12.22014384928665	3.9739125704197047	19.2	1.0
3584.0	2.0713402021239567e-13	2.8616622431579375e-14	R	-12.683748565630324	3.5543680009900878	19.6	0.15
-2332215.0	1.1469248157642533e-12	1.4271203471134501e-13	J	-11.940465050423848		16.4	0.1
-2332215.0	1.4262373257876145e-12	2.1725647747489608e-13	H	-11.845808201900606		15.4	0.1
-2332215.0	1.3228099032128437e-12	2.0417448675281043e-13	Ks	-11.878502562401673		15.0	0.1
9417.0	3.8006348885596853e-13	3.5474394700730605e-13	u	-12.42014384928665	3.9739125704197047	19.7	1.01
49832.3	1.6519691109297708e-12	4.4261428772921816e-13	v	-11.781998077523003	4.69751093241	17.69	0.29
49826.34	2.9912736872092e-12	2.669750749351815e-13	u	-11.52414384928665	4.697458987187484	17.46	0.05
49917.14	4.972056485625095e-20	1.7892488811595186e-20	uvw1	-19.30346394614947	4.698249694506898	20.15	0.37
49870.49	1.0587649812695641e-19	2.5908959416509495e-20	uvm2	-18.975200431455406	4.697843635377992	20.31	0.22
49906.21	3.347152590271229e-20	1.1061298036794405e-20	uvw2	-19.475324488537883	4.698154589730186	21.31	0.32
240361.0	1.3069273134471978e-14	2.4074490796562194e-15	R	-13.883748565630324	5.380864002187509	22.6	0.2
240378.48	3.2828529856172864e-14	1.5118096694346718e-14	R	-13.483748565630325	5.380895584646877	21.6	0.5
240382.18	1.8890847163307168e-14	3.4798226457807953e-15	R	-13.723748565630322	5.380902269426714	22.2	0.2
