Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             24.5000               0.0010    2.3120636291064167e-15    8.5179572023336445e-17
             31.4000               0.0010    1.7701080623615993e-15    9.7819786589496959e-17
             38.4000               0.0010    1.7864866708512328e-15    8.2270751620336981e-17
             40.8000               0.0010    2.0323559864252438e-15    1.1044027341702979e-16
             45.3000               0.0010    1.3304537388966570e-15    9.8031454367771615e-17
             52.2000               0.0010    1.2473828763636021e-15    9.1910567010610263e-17
             57.9000               0.0010    1.4696021510533009e-15    1.0422362747230059e-16
             59.1000               0.0010    9.9999948533225793e-16    7.3682685123228424e-17
             66.1000               0.0010    1.1271968780544612e-15    8.3054935383269032e-17
             73.0000               0.0010    9.6382852704314047e-16    8.8771888026658138e-17
             75.2000               0.0010    1.2405085955760607e-15    1.0511465897568675e-16
             80.0000               0.0010    8.0909548020880349e-16    8.9424537278203526e-17
             87.0000               0.0010    6.6680642200299992e-16    7.3698169375960849e-17
             89.0000               0.0010    9.5421222479536965e-16    1.5150589343646247e-16
             89.0000               0.0010    1.5332330747783318e-15    5.1588230012237125e-16
             89.0000               0.0010    1.7130505552034192e-15    7.4806091918683212e-16
             91.9000               0.0010    8.8633882956413910e-16    7.9185778435024956e-17
            109.1000               0.0010    6.6865142405384286e-16    7.2670385096345454e-17
            112.2000               0.0010    5.1999572384131602e-16    3.8314700904565536e-17
            125.5000               0.0010    8.3345043060436624e-16    2.9187960789711701e-16
            125.5000               0.0010    6.0489747719623667e-16    9.8882358148604787e-17
            125.5000               0.0010    7.0288936805179714e-16    3.2386029926450154e-16
            130.7000               0.0010    5.3554969022642571e-16    7.2015886091106636e-17
            141.4000               0.0010    4.0550832129213751e-16    4.1083566329235395e-17
            157.9000               0.0010    3.6745128460269139e-16    7.2086684915950824e-17
            158.0000               0.0010    3.2391731898682914e-16    3.4715356058965947e-17
            161.0000               0.0010    3.3935274732084474e-16    5.7031355042444182e-17
