Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             89.0000              11.7000    2.0211557479293974e-15    1.9918619668828881e-16
            125.5000              11.7000    1.3614439880337983e-15    1.3793298792906870e-16
            161.0000              11.7000    8.2489709702103372e-16    8.5092930076998638e-17
            197.0000              11.7000    6.6313167653178800e-16    7.0238187267704045e-17
            233.5000              11.7000    4.8707941058743003e-16    5.5179856116285949e-17
            269.5000              11.7000    4.3092309563071919e-16    5.0008749696994374e-17
            305.5000              11.7000    3.6441795775301095e-16    4.4975939985226962e-17
            360.0000              23.4000    2.5072622826843037e-16    2.6094795123262184e-17
            450.5000              35.1000    1.9373128801280848e-16    1.9449209044318150e-17
            577.5000              46.8000    1.6010310869629118e-16    1.6368105810765946e-17
            758.5000              70.2000    1.0242353522031267e-16    1.1886280841868080e-17
           1013.5000              93.6000    9.0448165115288736e-17    1.0913064876495343e-17
           1266.5000             164.8000    7.0990422250820170e-17    7.1269208844021679e-18
           1882.0000             235.4500    4.8887717029738785e-17    5.9886244398934777e-18
           3475.5000             800.5000    4.0142069237299597e-17    5.9525261522843393e-18
           4231.5000              90.0000    2.6546040521894619e-17    1.3202895724146290e-18
           4816.0000              90.0000    2.3356069138107145e-17    1.2907040802983811e-18
           5408.0000              90.0000    1.9284116696859480e-17    1.1722476395428342e-18
           6005.0000              90.0000    1.3944397324169272e-17    1.0916774889505140e-18
           6591.5000              90.0000    1.1967398364631576e-17    9.8099193044289503e-19
           7176.5000              90.0000    9.0865651765053187e-18    9.7080815473423534e-19
