Time		Mag	MagErr	Band	GCN
115620		21.74	0.17	z'	8257
101555.		>19.75	?	v	8262
96800.5		>19.99	?	u	8262
67096.		>20.34	?	uvw1	8262
96012.		>20.38	?	uvw1	8262
63898.5		>20.31	?	uvm2	8262
95105.		>20.20	?	uvm2	8262
100796.5	>20.43	?	uvw2	8262
286740		>22.7	?	z'	8272
63160		18.6	0.5	Ks	8274
97515		21.0	0.5	J	arXiv0902.0761
97515		20.4	0.4	H	arXiv0902.0761
97515		20.3	0.5	Ks	arXiv0902.0761
117315		>23.6	?	g'	arXiv0902.0761
117315		22.81	0.07	r'	arXiv0902.0761
117315		22.05	0.05	i'	arXiv0902.0761
117315		21.76	0.05	z'	arXiv0902.0761
117315		21.50	0.06	J	arXiv0902.0761
117315		21.29	0.08	H	arXiv0902.0761
117315		21.10	0.15	Ks	arXiv0902.0761
290415		>23.6	?	g'	arXiv0902.0761	
290415		>23.8	?	r'	arXiv0902.0761
290415		23.47	0.13	i'	arXiv0902.0761
290415		>23.8	?	z'	arXiv0902.0761
290415		>21.9	?	J	arXiv0902.0761
290415		>21.2	?	H	arXiv0902.0761
290415		>20.5	?	Ks	arXiv0902.0761
377955		>23.9	?	g'	arXiv0902.0761
377955		>24.2	?	r'	arXiv0902.0761
377955		23.78	0.16	i'	arXiv0902.0761
377955		>23.8	?	z'	arXiv0902.0761
377955		>22.5	?	J	arXiv0902.0761
377955		>21.5	?	H	arXiv0902.0761
377955		>20.6	?	Ks	arXiv0902.0761
721125		>25.0	?	g'	arXiv0902.0761
721125		>24.5	?	r'	arXiv0902.0761
721125		>24.3	?	i'	arXiv0902.0761
721125		>23.9	?	z'	arXiv0902.0761
721125		>22.2	?	J	arXiv0902.0761
721125		>21.5	?	H	arXiv0902.0761
721125		>20.8	?	Ks	arXiv0902.0761
3744135		>25.1	?	i'	arXiv0902.0761
