Time	Mag		MagErr		Band		GCN
108	19.5		0.2		White		18155
107.5	19.39	0.25	white_fc	18161
4102.	19.92	0.17	white	18161
10524.	19.68	0.07	white	18161
4386.5	>19.36	?	v	18161
4485.	>20.16	?	b	18161
8019.	20.56	0.33	b	18161
4279.5	>19.66	?	u	18161
5716.	19.63	0.25	u	18161
4075.5	18.78	0.2	uvw1	18161
5511.	18.95	0.2	uvw1	18161
3876.	18.81	0.23	uvm2	18161
5306.	18.89	0.24	uvm2	18161
4896.	18.9	0.19	uvw2	18161
1101    >19.4  	?    	g'	18171
1101    >19.4	?	Rc	18171
1101    >18.5	?	Ic	18171
14552.4 20.25  0.08	R	18175
102399  21.0   0.1	R	18182
192961  21.15  0.09	R	18189
