 #T_start(s)          Mag	err	Filter        
   90          14.87		0.02	white         
     582          16.13		0.05	white         
  302          15.30		0.03	u             
     557          16.30		0.08	b             
     631          15.98		0.13	v             
     681          16.42		0.17	uvw1          
     656          16.63		0.24	uvm2          
     606          17.97		0.36	uvw2          
