Time	Mag	MagErr	Band		GCN
346	>17.8	?	V_swift		5954
164.8	>17.9	?	R		5959
200.4	>17.9	?	R		5959
342.15	>19.9	?	R		5959
165	18.2	0.5	R		5960
1869	20.7	0.4	I		5961
226	>16	?	H		5963
2700	>19	0.2	R		5967
102	17.7	0.5	R		5968
140.5	>17.29	?	V_settling_swift	5972
346.	>19.77	?	V_finding_swift	5972
513.	>19.86	?	V_swift		5972
2754.	>20.29	?	B_swift		5972
2677.5	>19.98	?	U_swift		5972
2563.5	>19.76	?	UVW1_swift	5972
2449.	>19.96	?	UVM2_swift	5972
717.	>18.64	?	UVW2_swift	5972
32441.	>18.3	?	Ic		5977
32441.	>19.7	?	Rc		5977
32441.	>19.4	?	g'		5977
96.	>17.7	?	R		5981
126.	>14.7	?	R		5981
200	>18.2	?	R		5981
39784	>20.2	?	R		5971
