t	mag	dmag	band
4850.4	18.426062	0.033779	r
4958.0	18.454214	0.038796	r
5058.4	18.417008	0.031964	r
5156.8	18.46978	0.035359	r
5278.1	18.423837	0.031925	r
5453.4	18.437803	0.030675	r
5549.1	18.463781	0.0328	r
5663.4	18.505458	0.038149	r
5764.8	18.483128	0.035485	r
5870.3	18.450272	0.051905	r
5968.0	18.512066	0.034733	r
6083.6	18.523707	0.037388	r
6188.4	18.448949	0.032708	r
6294.2	18.541759	0.03421	r
6468.5	18.517077	0.03331	r
6748.7	18.58488	0.036186	r
6921.5	18.447164	0.031494	r
7040.2	18.497034	0.033646	r
7137.5	18.591071	0.036219	r
7239.9	18.558867	0.034655	r
7416.5	18.554793	0.033957	r
7507.3	18.581258	0.035186	r
7602.6	18.570923	0.035726	r
7706.0	18.532629	0.034158	r
7828.5	18.629801	0.038164	r
7923.9	18.570137	0.034875	r
8023.0	18.582203	0.037324	r
8125.8	18.672106	0.039393	r
8229.2	18.741835	0.041295	r
8330.2	18.625461	0.036694	r
8521.6	18.631968	0.0422	r
8625.7	18.670705	0.040246	r
8731.1	18.716246	0.041357	r
8832.4	18.661659	0.03939	r
8929.5	18.646176	0.039854	r
9048.9	18.679843	0.042399	r
9150.6	18.648006	0.040121	r
9243.3	18.708274	0.044661	r
9341.2	18.72482	0.045617	r
9441.4	18.640878	0.040767	r
9545.5	18.784812	0.046331	r
9732.6	18.700376	0.050336	r
9830.0	18.749794	0.048569	r
9933.0	18.789896	0.049754	r
10035.6	18.777982	0.048995	r
10137.4	18.716291	0.043979	r
10260.0	18.718607	0.048342	r
10438.1	18.591087	0.053409	r
10635.6	18.746864	0.052839	r
10739.3	18.770218	0.047001	r
10835.9	18.640118	0.04651	r
10962.4	18.756769	0.0484	r
11059.3	18.672479	0.059028	r
11150.9	18.792379	0.051441	r
11247.8	18.844964	0.055874	r
11350.9	18.744024	0.05369	r
11455.1	18.915209	0.063767	r
11546.1	18.812198	0.055631	r
11660.6	18.756271	0.060934	r
11782.7	18.860842	0.069872	r
11957.9	18.772006	0.086435	r
12067.6	18.731396	0.051889	r
12238.9	18.839403	0.100801	r
8544.65	18.603467	0.006225	r
4850.4	18.09933	0.028219	i
4958.0	18.137832	0.033726	i
5058.4	18.126465	0.028022	i
5155.7	18.149538	0.02972	i
5277.1	18.142983	0.027927	i
5453.4	18.131431	0.027395	i
5549.1	18.186739	0.02898	i
5663.4	18.148057	0.030575	i
5764.8	18.182777	0.030167	i
5870.3	18.259484	0.051724	i
5968.0	18.176772	0.029843	i
6083.6	18.21785	0.031098	i
6188.4	18.19573	0.028547	i
6294.3	18.25476	0.030069	i
6468.5	18.126671	0.027029	i
6639.5	18.199791	0.028254	i
6749.6	18.203594	0.027962	i
6921.5	18.238319	0.029087	i
7040.2	18.239337	0.031514	i
7137.9	18.344012	0.031942	i
7239.9	18.271236	0.030111	i
7416.5	18.184475	0.027694	i
7507.3	18.12385	0.032845	i
7603.6	18.252444	0.029221	i
7706.0	18.269954	0.030131	i
7828.6	18.310144	0.032529	i
7923.9	18.281629	0.03099	i
8023.0	18.327587	0.032709	i
8125.8	18.364139	0.032995	i
8229.2	18.335663	0.031479	i
8330.3	18.252568	0.029732	i
8521.6	18.263418	0.03356	i
8625.7	18.368898	0.033506	i
8731.1	18.343377	0.033186	i
8832.4	18.367919	0.033903	i
8929.5	18.348816	0.032987	i
9048.9	18.411182	0.036898	i
9150.6	18.341496	0.033575	i
9243.3	18.382046	0.037222	i
9341.2	18.364097	0.035496	i
9441.5	18.370015	0.034754	i
9545.4	18.392941	0.035849	i
9732.6	18.367579	0.041123	i
9830.0	18.460293	0.040671	i
9933.0	18.370592	0.036705	i
10035.6	18.406378	0.038259	i
10138.4	18.394642	0.036615	i
10259.0	18.446673	0.041378	i
10438.1	18.587544	0.059238	i
10636.0	18.364548	0.042591	i
10739.3	18.397511	0.036905	i
10835.9	18.491722	0.044545	i
10962.1	18.301089	0.036253	i
11059.3	18.566659	0.059826	i
11150.9	18.420855	0.040475	i
11247.8	18.515931	0.044561	i
11350.4	18.440775	0.045306	i
11455.1	18.500418	0.049108	i
11546.1	18.426372	0.042811	i
11660.6	18.456499	0.051293	i
11783.0	18.422848	0.050932	i
11958.0	18.459012	0.076511	i
12067.6	18.480467	0.046024	i
12238.9	18.658419	0.095333	i
8544.65	18.307123	0.006587	i
4843.95	17.826658	0.037898	Z
5150.35	17.889022	0.038189	Z
5271.65	17.905892	0.039216	Z
5657.95	17.917943	0.043789	Z
5758.35	17.905094	0.040423	Z
6077.15	17.940642	0.045656	Z
6181.95	17.919121	0.040476	Z
6633.1	17.967943	0.040188	Z
6742.25	18.023929	0.042903	Z
7131.45	18.047624	0.042651	Z
7233.45	18.040051	0.043477	Z
7597.15	18.009907	0.042291	Z
7699.55	18.029748	0.042084	Z
8016.55	18.027994	0.044574	Z
8119.35	18.012477	0.043125	Z
8514.150000000001	18.096128	0.048803	Z
8619.25	18.035239	0.045314	Z
8923.349999999999	18.175079	0.050276	Z
9042.75	18.150418	0.049751	Z
9334.75	17.981553	0.043428	Z
9435.05	18.060916	0.045893	Z
9823.55	18.131819	0.051291	Z
9926.6	18.157152	0.053193	Z
10252.55	18.094987	0.051383	Z
10431.650000000001	18.1026	0.050019	Z
10829.5	18.315874	0.060156	Z
10955.95	18.194389	0.056478	Z
11241.349999999999	18.249781	0.061041	Z
11344.45	18.280683	0.064551	Z
11654.150000000001	18.172352	0.067611	Z
11776.25	18.203212	0.066828	Z
12232.45	18.220491	0.083128	Z
8538.2	18.056218	0.009355	Z
4951.55	17.578031	0.048354	Y
5051.95	17.710699	0.04706	Y
5446.95	17.647752	0.044618	Y
5542.700000000001	17.605407	0.042599	Y
5863.85	17.644938	0.063118	Y
5961.6	17.759591	0.048155	Y
6287.95	17.804252	0.049029	Y
6462.05	17.835203	0.05162	Y
6916.05	17.83935	0.049888	Y
7033.75	17.714367	0.044087	Y
7410.1	17.812583	0.048788	Y
7500.85	17.831828	0.049095	Y
7822.1	17.8691	0.054986	Y
7917.45	17.826945	0.051948	Y
8222.75	17.882637	0.050888	Y
8323.849999999999	17.881521	0.051569	Y
8724.650000000001	17.780924	0.048335	Y
8826.05	17.898229	0.052452	Y
9144.150000000001	17.953116	0.056753	Y
9236.849999999999	17.944021	0.057713	Y
9539.0	17.905123	0.05452	Y
9726.25	17.910825	0.059955	Y
10029.2	17.914713	0.058176	Y
10131.95	17.845152	0.053275	Y
10629.55	17.88821	0.063987	Y
10732.849999999999	17.923803	0.056293	Y
11052.849999999999	17.78731	0.061858	Y
11144.45	18.010805	0.063283	Y
11448.650000000001	17.972411	0.069993	Y
11539.95	18.007023	0.070925	Y
11951.55	18.110441	0.112053	Y
12061.150000000001	18.631602	0.246702	Y
8538.2	17.86223	0.020808	Y
4843.95	17.555185	0.06256	J
5150.35	17.521954	0.057511	J
5271.65	17.715481	0.06963	J
5657.95	17.746875	0.077049	J
5758.35	17.646576	0.067679	J
6077.15	17.565711	0.063807	J
6181.95	17.733892	0.069986	J
6633.15	17.643452	0.060091	J
6743.15	17.684843	0.07503	J
7131.45	17.611071	0.056078	J
7233.65	17.714812	0.06158	J
7597.15	17.703578	0.060553	J
7699.55	17.818607	0.067019	J
8016.55	17.648518	0.059771	J
8119.35	17.729324	0.062586	J
8514.150000000001	17.931764	0.078903	J
8619.25	17.837656	0.067538	J
8923.349999999999	17.837375	0.065656	J
9042.75	17.693925	0.060514	J
9334.75	17.790614	0.062946	J
9435.05	17.878704	0.069972	J
9823.55	17.782378	0.066774	J
9926.55	17.831634	0.070847	J
10254.650000000001	17.842818	0.064706	J
10431.650000000001	17.865145	0.082373	J
10829.55	17.734327	0.06432	J
10955.95	17.828099	0.069661	J
11241.349999999999	17.885328	0.073306	J
11344.45	17.922671	0.080696	J
11654.150000000001	17.737724	0.083175	J
11776.55	17.948778	0.087982	J
12232.45	17.963107	0.119401	J
8538.2	17.758583	0.014915	J
4951.55	17.363183	0.076737	H
5052.0	17.242447	0.060873	H
5447.0	17.319533	0.065213	H
5542.75	17.282229	0.06317	H
5961.65	17.495834	0.07591	H
6287.95	17.352531	0.067047	H
6462.05	17.37266	0.068599	H
6916.0	17.483771	0.072114	H
7033.75	17.404053	0.066512	H
7410.15	17.597741	0.080808	H
7500.85	17.580199	0.080102	H
7822.1	17.707225	0.091099	H
7917.75	17.470764	0.073557	H
8222.75	17.48206	0.071151	H
8323.849999999999	17.769796	0.095886	H
8724.650000000001	17.588185	0.081163	H
8826.05	17.544488	0.075535	H
9144.150000000001	17.670141	0.085825	H
9236.849999999999	17.501382	0.076418	H
9539.0	17.600271	0.085114	H
9726.25	17.581357	0.0877	H
10029.2	17.593706	0.084803	H
10131.95	17.711765	0.089786	H
10629.150000000001	17.865013	0.116181	H
10732.849999999999	17.585346	0.079911	H
11052.849999999999	17.833825	0.122842	H
11144.5	17.864672	0.112406	H
11448.650000000001	17.711836	0.112511	H
11539.95	17.761589	0.112131	H
12061.150000000001	17.753974	0.104708	H
8538.2	17.543286	0.02121	H
