Time	Mag	MagErr	Band
193190.40000000002	20.08	0.06	g
1.0141632e7	20.48	0.06	r
300499.2	20.52	0.03	g
54086.4	17.75	0.09	i
566438.4	20.85	0.05	g
194918.4	19.06	0.26	i
823824.	20.94	0.05	g
300499.2	19.7	0.03	i
996019.2000000001	20.97	0.04	g
460684.8	19.78	0.1	i
1.1697695999999999e6	20.93	0.05	g
566438.4	19.87	0.05	i
1.3430016e6	21.	0.05	g
725760.	19.8	0.12	i
1.597968e6	21.02	0.06	g
812246.4	19.87	0.03	i
1.8582048e6	21.01	0.08	g
823824.	19.99	0.05	i
2.1989664e6	21.07	0.08	g
978739.2	20.1	0.04	i
2.6314848000000003e6	21.09	0.05	g
996019.2000000001	20.05	0.04	i
2.89224e6	21.12	0.08	g
1.0636704e6	20.03	0.03	i
2.9750975999999996e6	21.17	0.06	g
1.1486016e6	20.03	0.04	i
3.4913376e6	21.18	0.06	g
1.1697695999999999e6	19.97	0.05	i
4.0099104e6	21.18	0.08	g
1.3237344e6	19.94	0.02	i
129600.	19.3	0.06	r
1.3430016e6	19.95	0.05	i
194140.8	19.69	0.11	r
1.5107904000000001e6	19.91	0.12	i
300412.8	19.96	0.02	r
1.597968e6	19.93	0.06	i
458783.99999999994	20.15	0.08	r
1.6746912e6	19.9	0.02	i
566438.4	20.15	0.05	r
1.7678304e6	19.92	0.26	I
639878.4	20.18	0.03	r
1.8582048e6	19.97	0.08	i
725241.6	20.22	0.07	r
1.9315584000000001e6	19.95	0.03	i
811468.7999999999	20.27	0.03	r
2.1989664e6	19.99	0.08	i
823824.	20.23	0.05	r
2.6241408e6	20.01	0.03	i
977616.	20.26	0.06	r
2.6314848000000003e6	20.	0.05	i
996019.2000000001	20.23	0.04	r
2.8757376e6	19.97	0.02	i
1.0625472e6	20.24	0.03	r
2.89224e6	19.99	0.08	i
1.1475648e6	20.24	0.06	r
2.9750975999999996e6	19.99	0.06	i
1.1697695999999999e6	20.18	0.05	r
3.4913376e6	20.	0.06	i
1.3220928e6	20.22	0.03	r
3.8531808000000003e6	20.05	0.05	i
1.3430016e6	20.25	0.05	r
4.0099104e6	20.03	0.06	i
1.5099264e6	20.19	0.07	r
1.0141632e7	20.22	0.05	i
1.597968e6	20.26	0.06	r
300499.2	19.33	0.03	z
1.6730496e6	20.2	0.03	r
566438.4	19.55	0.05	z
1.7673119999999998e6	20.23	0.11	R
823824.	19.63	0.05	z
1.8582048e6	20.28	0.08	r
996019.2000000001	19.68	0.04	z
1.9302624000000001e6	20.21	0.09	r
1.1697695999999999e6	19.64	0.05	z
2.1989664e6	20.36	0.08	r
1.3430016e6	19.67	0.05	z
2.6224992e6	20.36	0.04	r
1.597968e6	19.7	0.06	z
2.6314848000000003e6	20.34	0.05	r
1.8582048e6	19.74	0.08	z
2.8747008e6	20.34	0.02	r
2.1989664e6	19.87	0.08	z
2.89224e6	20.33	0.08	r
2.6314848000000003e6	19.82	0.05	z
2.9750975999999996e6	20.39	0.06	r
2.89224e6	19.87	0.08	z
3.4913376e6	20.4	0.06	r
2.9750975999999996e6	19.85	0.06	z
3.8531808000000003e6	20.38	0.05	r
3.4913376e6	19.86	0.06	z
4.0099104e6	20.38	0.06	r
4.0099104e6	19.85	0.06	z
