date       	time        	exp    	mag   	mag_err 	band  	source
2017-10-13 	07:48:14.58 	9792.0 	19.88 	0.02    	r     	manual
2017-10-13 	07:48:14.58 	9792.0 	19.59 	0.02    	i     	manual
2017-10-13 	07:48:14.58 	4068.0 	19.25 	0.02    	Z     	manual
2017-10-13 	07:48:14.58 	4068.0 	19.19 	0.02    	Y     	manual
2017-10-13 	07:48:14.58 	4068.0 	18.97 	0.03    	J     	manual
2017-10-13 	07:48:14.58 	4068.0 	18.8  	0.03    	H     	manual
2017-10-12 	00:45:14.58 	n/a       	19.18 	0.06    	r     	manual
2017-10-11 	02:18:50.58 	600.0  	16.82 	0.02    	i     	manual
2017-10-12 	20:11:03    	n/a       	19.06 	0.04    	R     	manual
2017-10-13 	18:34:36    	n/a       	19.21 	0.05    	R     	manual
2017-10-14 	18:23:31    	n/a       	19.38 	0.03    	R     	manual
2017-10-15 	18:23:04    	n/a       	19.35 	0.03    	R     	manual
2017-10-20 	00:57:51    	n/a       	19.6  	0.03    	R     	manual
2017-10-28 	19:42:20    	n/a       	19.5  	0.06    	R     	manual
2017-11-06 	19:44:54    	n/a       	20.0  	0.1     	R     	manual
2017-10-11 	15:23:32    	4380.0 	18.04 	0.16    	Rc    	manual
2017-10-23 	00:03:14.57 	n/a       	18.87 	0.1     	R     	manual
2017-10-25 	00:03:14.57 	n/a       	19.64 	0.13    	R     	manual
2017-10-26 	00:03:14.57 	n/a       	20.21 	0.19    	R     	manual
2017-10-11 	19:00:50.58 	4818.0 	18.84 	0.02    	white 	manual
2017-10-11 	18:46:00    	300.0  	18.31 	0.05    	R     	manual
2017-10-11 	18:54:00    	300.0  	18.38 	0.05    	R     	manual
2017-10-11 	20:12:00    	450.0  	18.42 	0.04    	R     	manual
2017-10-11 	21:32:00    	300.0  	18.48 	0.05    	R     	manual
2017-10-11 	21:46:00    	300.0  	18.51 	0.05    	R     	manual
2017-10-11 	20:21:00    	300.0  	18.06 	0.05    	I     	manual
2017-10-11 	20:28:00    	300.0  	18.09 	0.05    	I     	manual
2017-10-11 	21:53:00    	300.0  	18.22 	0.05    	I     	manual
2017-10-11 	22:00:00    	300.0  	18.24 	0.05    	I     	manual
