z=   1.1588000e+00 0.
TotalEnergy(erg)    1.1581636724667340e+06    9.0376414153212612e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    3.6037988278397471e+06    3.0531853642184152e+06
Energy2(erg)    6.6648077092341159e+05    4.8511749688905576e+05
T_min_T_max    9.8758569305198364e+01    1.7282286408103405e+03
Interval1    9.8758569305198364e+01    3.7151846701158451e+02
Interval2    3.7151846701158451e+02    1.7282286408103405e+03
