time_sec	flux	flux_err	band
60117.4	3.6179285819532315e-14	4.464459597098704e-15	Ic
61568.2	3.910135364008367e-14	4.3231459664112224e-15	Rc
62219.8	3.87428702751442e-14	4.2835111259545776e-15	Rc
62867.8	3.632384320923318e-14	1.1709902895223171e-14	Rc
93118.0	3.8040957033195613e-14	2.1022209741087176e-15	R
124766.92	1.3069273134471976e-14	6.018622699140549e-16	R
239911.0	1.0668275633685507e-13	1.009986211905487e-14	V
239911.0	3.94685738868527e-14	3.6351899949440435e-15	R
262280.0	1.7586965472670001e-13	6.514026493641112e-14	g'
371636.0	1.0870547907899236e-14	1.0012144626162556e-15	R
432000.0	4.745166266923237e-14	8.74091928799652e-15	R
2993753.8	5.108006419232608e-14	9.409295548674318e-15	R
