time_sec	flux	flux_err	band	logF	logT	mag	mag_err
93118.0	3.804095703319562e-14	2.1022209741087176e-15	R	-13.419748565630323	4.969033639575019	21.44	0.06
371636.0	1.0870547907899236e-14	1.0012144626162558e-15	R	-13.963748565630324	5.5701177770225465	22.8	0.1
124766.92	1.3069273134471978e-14	6.018622699140549e-16	R	-13.883748565630324	5.096099454210071	22.6	0.05
60117.4	3.617928581953232e-14	4.464459597098705e-15	Ic	-13.441540010381056	4.7790001896449095	20.98	0.13
61568.2	3.910135364008367e-14	4.3231459664112224e-15	Rc	-13.407808207610708	4.7893564567993	21.39	0.12
62219.8	3.87428702751442e-14	4.283511125954577e-15	Rc	-13.411808207610706	4.793928610774035	21.4	0.12
62867.8	3.632384320923319e-14	1.170990289522317e-14	Rc	-13.439808207610707	4.798428262885936	21.47	0.35
239911.0	1.0668275633685507e-13	1.0099862119054868e-14	V	-12.971905772074567	5.380050160972334	20.7	0.1
239911.0	3.94685738868527e-14	3.6351899949440435e-15	R	-13.403748565630321	5.380050160972334	21.4	0.1
2993753.8	5.108006419232608e-14	9.409295548674318e-15	R	-13.291748565630323	6.47621608201308	21.12	0.2
432000.0	4.7451662669232364e-14	8.74091928799652e-15	R	-13.323748565630323	5.635483746814912	21.2	0.2
262280.0	1.7586965472670001e-13	6.514026493641112e-14	g'	-12.754809089033962	5.418765174994478	20.3	0.4
