Time_aftertrigger(hr)		Mag		MagErr		Band		GCN
1548.				20.2		0.1		R		15304
3960.				20.8		0.1		R		15305
5106.            		20.2 		0.1		i'		15306
6678.           		20.6  		0.1		i'		15306
9900.				22.9		0.1		g'		15309
9900.				22.1		0.1		r'		15309
9900.				21.6		0.1		i'		15309
9900.				21.4		0.1		z'		15309
9900.				20.2		0.2		J		15309
9900.				20.2		0.2		H		15309
9900.				>19.8		?		K		15309
26208.				>23.91		?		r		15312
26208.				>23.33		?		i		15312
26208.				>22.56		?		Z		15312
26208.				>21.86		?		Y		15312
26208.				>21.81		?		J		15312
26208.				>21.26		?		H		15312
150.				19.23		0.11		white_FC	15313
2881.5				20.18		0.12		white		15313
412.5				19.96		0.34		u_FC		15313
3501.5				20.72		0.4		u		15313
3358.5				>20.24		?		v		15313
3656.5				>21.0		?		b		15313
3588.				>20.9		?		w1		15313
3559.5				>20.8		?		m2		15313
3244.				>21.0		?		w2		15313
9000         			>18.98		?		B		15317
9720           			>21.56		?		V		15317
12240          			>21.85		?		R		15317
12600           		>21.12		?		I		15317
10440           		>18.46		?		I		15317
207360				>20.6		?		Ks		15319
