time_sec	mag	mag_err	band	source
29734.7	18.852510901906847	0.039611	r	nissim
29905.9	18.819455901906846	0.037009	r	nissim
30006.3	18.87722390190685	0.039374	r	nissim
30107.5	18.856170901906847	0.03875	r	nissim
30197.0	18.917716901906847	0.041285	r	nissim
30298.4	18.891094901906847	0.039391	r	nissim
30397.5	18.918274901906848	0.04064	r	nissim
30493.3	18.89939090190685	0.03963	r	nissim
30590.4	18.948134901906847	0.040569	r	nissim
30686.0	18.885517901906848	0.038763	r	nissim
30786.5	18.827902901906846	0.036731	r	nissim
30885.0	18.952513901906848	0.040887	r	nissim
30977.3	18.90214590190685	0.039396	r	nissim
31079.8	18.808662901906846	0.035648	r	nissim
31169.2	18.874236901906848	0.039612	r	nissim
31264.2	18.888924901906847	0.039747	r	nissim
31376.6	18.868409901906848	0.039036	r	nissim
31474.9	18.942023901906847	0.041575	r	nissim
31567.0	18.963440901906846	0.040982	r	nissim
31676.5	18.938253901906847	0.040312	r	nissim
31768.0	18.912431901906846	0.04067	r	nissim
31871.6	18.980737901906846	0.044107	r	nissim
31973.9	18.972301901906846	0.043439	r	nissim
32071.4	18.89097590190685	0.039156	r	nissim
32164.3	18.92306890190685	0.039986	r	nissim
32262.0	18.926028901906847	0.040134	r	nissim
32364.6	18.922684901906848	0.039467	r	nissim
32463.7	18.962117901906847	0.043246	r	nissim
32554.7	18.982632901906847	0.04227	r	nissim
32652.6	18.960331901906848	0.041674	r	nissim
32751.9	18.821157901906847	0.037147	r	nissim
32845.6	18.971648901906846	0.044142	r	nissim
32959.2	18.997764901906848	0.045351	r	nissim
33053.7	18.94292090190685	0.042381	r	nissim
33154.0	18.937959901906847	0.043146	r	nissim
33249.3	19.095575901906848	0.048537	r	nissim
33349.7	18.962058901906847	0.043584	r	nissim
33446.1	18.93360290190685	0.043868	r	nissim
33547.7	19.031576901906845	0.047087	r	nissim
33642.5	19.029849901906847	0.046392	r	nissim
33732.8	19.041839901906847	0.048444	r	nissim
33837.2	18.990451901906848	0.046695	r	nissim
33945.4	19.02655490190685	0.047031	r	nissim
34042.9	18.958986901906847	0.043992	r	nissim
34133.4	19.086644901906848	0.050944	r	nissim
34232.3	18.966278901906847	0.046115	r	nissim
34325.2	19.019171901906848	0.048883	r	nissim
34421.3	19.003652901906847	0.048686	r	nissim
35322.9	19.120094901906846	0.055093	r	nissim
35496.2	19.085784901906848	0.05234	r	nissim
35590.3	18.97049690190685	0.047248	r	nissim
35692.5	19.112193901906846	0.066601	r	nissim
35880.9	19.164654901906847	0.058538	r	nissim
36080.7	19.108315901906845	0.057005	r	nissim
36265.1	19.111950901906848	0.058754	r	nissim
36368.2	19.087072901906847	0.087403	r	nissim
36559.3	19.148470901906848	0.059539	r	nissim
36657.8	19.10424090190685	0.056784	r	nissim
36759.0	19.218898901906847	0.067449	r	nissim
36979.0	19.118374901906847	0.059227	r	nissim
37172.8	19.092782901906848	0.086842	r	nissim
37268.5	19.025687901906846	0.089915	r	nissim
37359.1	19.194512901906847	0.113122	r	nissim
37457.0	19.085589901906847	0.057614	r	nissim
37558.1	19.108334901906847	0.058327	r	nissim
37650.8	19.356387901906846	0.074317	r	nissim
37743.1	19.316994901906845	0.072628	r	nissim
37845.2	18.821581901906846	0.100736	r	nissim
37942.8	19.287148901906846	0.067925	r	nissim
38059.3	19.133999901906847	0.059638	r	nissim
38154.5	19.112816901906847	0.056877	r	nissim
38257.2	19.119980901906846	0.056148	r	nissim
38350.6	19.087514901906847	0.056822	r	nissim
38448.5	19.271452901906848	0.066954	r	nissim
38564.1	19.237693901906848	0.074122	r	nissim
38664.6	19.36706290190685	0.080723	r	nissim
38755.4	19.211754901906847	0.07453	r	nissim
38850.4	19.215548901906846	0.0761	r	nissim
38941.2	19.344892901906846	0.089399	r	nissim
39045.7	19.249397901906846	0.070468	r	nissim
39242.8	19.32048190190685	0.083145	r	nissim
39333.0	19.209860901906847	0.071039	r	nissim
39426.7	19.312230901906847	0.083149	r	nissim
39546.9	19.35205290190685	0.086755	r	nissim
39640.7	19.131400901906847	0.075467	r	nissim
39733.9	19.23000090190685	0.07604	r	nissim
39828.6	19.147693901906848	0.07228	r	nissim
39922.3	19.242543901906846	0.0765	r	nissim
40014.7	19.270829901906847	0.084293	r	nissim
41409.1	19.420857901906846	0.095876	r	nissim
41581.3	19.285275901906846	0.080227	r	nissim
41673.7	19.336361901906848	0.085183	r	nissim
41880.3	19.511357901906848	0.094553	r	nissim
41975.6	19.405341901906848	0.092066	r	nissim
42075.7	19.274935901906847	0.088117	r	nissim
42175.9	19.406749901906846	0.110139	r	nissim
42285.1	19.44932490190685	0.110201	r	nissim
42379.5	19.318987901906848	0.097793	r	nissim
42479.3	19.516242901906846	0.115761	r	nissim
42582.0	19.559887901906848	0.108141	r	nissim
42794.3	19.347510901906848	0.094829	r	nissim
42986.4	19.553633901906846	0.120036	r	nissim
43102.6	19.486037901906847	0.103705	r	nissim
43223.9	19.701673901906847	0.1242	r	nissim
43314.0	19.68629890190685	0.135489	r	nissim
