Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes
  0.4169d3 -9. -9. -9.      66.  zz 17.673  0.028     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag        
  0.5745d3 -9. -9. -9.      35.  zz 17.200  0.019     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag        
  0.7457d3 -9. -9. -9.     115.  zz 16.909  0.016     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  0.9334d3 -9. -9. -9.      35.  zz 16.604  0.016     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.0726d3 -9. -9. -9.      71.  zz 16.474  0.011     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.1977d3 -9. -9. -9.      35.  zz 16.381  0.009     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.3423d3 -9. -9. -9.      35.  zz 16.274  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.4556d3 -9. -9. -9.      35.  zz 16.215  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.5595d3 -9. -9. -9.      35.  zz 16.169  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.6767d3 -9. -9. -9.      35.  zz 16.112  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.7947d3 -9. -9. -9.      35.  zz 16.095  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  1.8996d3 -9. -9. -9.      35.  zz 16.089  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.0065d3 -9. -9. -9.      35.  zz 16.094  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.1892d3 -9. -9. -9.     115.  zz 16.070  0.005     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.3835d3 -9. -9. -9.     115.  zz 16.078  0.005     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.5359d3 -9. -9. -9.      35.  zz 16.121  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.6421d3 -9. -9. -9.      35.  zz 16.136  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.7614d3 -9. -9. -9.      35.  zz 16.147  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag       
  2.8323d3 -9. -9. -9.      35.  zz 16.159  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  2.9105d3 -9. -9. -9.      35.  zz 16.176  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  2.9854d3 -9. -9. -9.      35.  zz 16.219  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  3.0564d3 -9. -9. -9.      35.  zz 16.236  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  3.1276d3 -9. -9. -9.      35.  zz 16.248  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  3.1962d3 -9. -9. -9.      35.  zz 16.261  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  3.3151d3 -9. -9. -9.      35.  zz 16.273  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  3.4059d3 -9. -9. -9.      35.  zz 16.309  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  4.1611d3 -9. -9. -9.     115.  zz 16.418  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  4.4496d3 -9. -9. -9.     115.  zz 16.452  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  4.6632d3 -9. -9. -9.     115.  zz 16.488  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  5.6014d3 -9. -9. -9.     115.  zz 16.601  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  5.8030d3 -9. -9. -9.     115.  zz 16.637  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  6.0290d3 -9. -9. -9.     115.  zz 16.675  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  6.2166d3 -9. -9. -9.     115.  zz 16.700  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  6.5862d3 -9. -9. -9.     115.  zz 16.746  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  6.7883d3 -9. -9. -9.     115.  zz 16.757  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  6.9845d3 -9. -9. -9.     115.  zz 16.788  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  7.2804d3 -9. -9. -9.     115.  zz 16.839  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  7.4691d3 -9. -9. -9.     115.  zz 16.853  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  7.6567d3 -9. -9. -9.     115.  zz 16.902  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  7.8462d3 -9. -9. -9.     115.  zz 16.918  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  8.0363d3 -9. -9. -9.     115.  zz 16.918  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  8.2434d3 -9. -9. -9.     115.  zz 16.928  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  8.4312d3 -9. -9. -9.     115.  zz 16.989  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  8.6219d3 -9. -9. -9.     115.  zz 17.005  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  8.8119d3 -9. -9. -9.     115.  zz 17.010  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  9.0840d3 -9. -9. -9.     115.  zz 17.043  0.010     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  9.2723d3 -9. -9. -9.     115.  zz 17.086  0.007     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  9.4591d3 -9. -9. -9.     115.  zz 17.123  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  9.6457d3 -9. -9. -9.     115.  zz 17.116  0.006     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  9.8478d3 -9. -9. -9.     115.  zz 17.132  0.008     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag      
  0.4169d3 -9. -9. -9.      66.  gg 18.619  0.028     -9.  -9. -9. GROND kruehler09 0 NNN 0. 0. 0 AB_mag 
