Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
          58490.4000             300.0000    3.2809510754717279e-17    1.5109338088707729e-18
          77008.9000              30.0000    2.4210276664721843e-17    6.6895466637674177e-19
         162372.8000              60.0000    6.0255923005892940e-18    1.6649326825069086e-19
         333812.1000             150.0000    1.4060466628931880e-18    6.4750841781747593e-20
         506930.3000             450.0000    6.5463576563026796e-19    6.0294182268143899e-20
        1455810.2000             270.0000    1.8879901361703255e-19    5.0428192189473535e-20
        2667184.8000             810.0000    1.8365371627218057e-19    4.2287830976038149e-20
