Time	     Mag	MagErr		GCN
12600        >20.5	?	R	18581
15120        >20.0	?	I	18581
57600	     23.25 	0.21±1.0  g	18585
57600	     22.16 	0.14±0.5  r	18585
57600	     20.89 	0.15±0.5  i	18585
156.	     >20.9	?	white_FC	18587
418.	     >19.7	?	u_FC	18587
3429.5	     >21.7	?	white	18587
3858.	     >19.7	?	v	18587
3561.	     >20.6	?	b	18587
3330.	     >19.7	?	u	18587
3417.	     >20.0	?	w1	18587
5857.	     >19.7	?	m2	18587
3878.	     >20.6	?	w2	18587
164160	     22.68 	0.05	r'	18598
