#T_start(s)	Mag	err	Filter  
   # 100    17.37	0.06	white   
    312    17.86	0.09	u       
   3734    19.5 	0.3	b       
   #3960    19.92	0.16	white   
   4166   20.1		nan	uvw2    
   4371    19.3 	0.3	v       
   4576   20.3		nan	uvm2    
   4781   20.1		nan	uvw1    
   4986    20.1 	0.4	u       
   5192    19.9 	0.2	b       
