time_sec	flux_R	flux_err_R	band	source
60.715	5.697229421477223e-12	1.1304731378036392e-12	R	Li_Liang
381.296	1.4867271996285185e-11	5.564030077334784e-13	R	Li_Liang
722.58	1.2483968851842521e-11	1.157618583067636e-12	R	Li_Liang
1171.353	6.764041305180128e-12	2.879616907184467e-13	R	Li_Liang
1522.091	4.358040035552298e-12	6.907293112982754e-13	R	Li_Liang
1681.87	4.902795039996335e-12	7.252389700782345e-13	R	Li_Liang
5409.07	1.3278403233323408e-12	1.662736888583154e-13	R	Li_Liang
6841.678	8.72742913369718e-13	1.2770568680106323e-13	R	Li_Liang
18671.915	4.846049727033414e-13	8.776062168980361e-14	R	Li_Liang
18975.155	3.0869450251828775e-13	7.696969118965628e-14	R	Li_Liang
70016.969	2.7691712725905227e-13	7.865960459962242e-14	R	Li_Liang
87366.263	1.5434725125914388e-13	7.392218709317728e-14	R	Li_Liang
