Deltat(day) Telescope Band System Magnitude FluxDensity(µJy) Ref
0.21 ZwickyTransientFacility g AB 20.64±0.05 20.14+0.74,−0.71 (1)
0.23 ZwickyTransientFacility r AB 20.55±0.05 21.88+0.89,−0.86 (1)
0.28 ZwickyTransientFacility g AB 20.74±0.17 18.37+2.51,−2.15 (1)
0.77 Kitab-ISONRC-36 CR AB >20.3 <27.54 (3)
1.15 ZwickyTransientFacility g AB 22.75±0.26 2.88+0.78,−0.61 (1)
1.22 ZwickyTransientFacility r AB >21.16 <12.47 (1)
1.29 ZwickyTransientFacility g AB >20.99 <14.59 (1)
1.74 Kitab-ISONRC-36 CR AB >20.5 <22.91 (3)
1.79 Swift/UVOT white/(170-650 nm) AB 21.57±0.13 8.55+0.83,−0.74 (2)
2.18 LargeBinocularTelescope g AB 22.74±0.07 2.91+0.16,−0.15 (5)
2.18 LargeBinocularTelescope r AB 22.00±0.07 5.75+0.33,−0.31 (5)
2.27 LCOGT r AB >23.30 <1.74 (8)
2.28 LCOGT g AB >23.41 <1.57 (8)
3.23 LowellDiscoveryTelescope r AB 24.46±0.12 0.60+0.06,−0.07 (4)
3.99 GranTelescopioCanarias r AB >24.9 <0.40 (8)
28.28 Gemini-North8-metertelescope/GMOS-N i AB 25.45±0.25 0.24+0.06,−0.05 (7)
28.28 Gemini-North8-metertelescope/GMOS-N r AB >25.6 <0.21 (7)
31.81 TNGtelescope r AB >24.8 <0.44 (6)
32.81 LBTtelescope/MODS r AB >24.8 <0.44 (6)
46.11 Gemini-North8-metertelescope/GMOS-N i AB >25.4 <0.25 (7)
46.11 Gemini-North8-metertelescope/GMOS-N r AB >25.5 <0.23 (7)
72.05 LCOGTnetworkobservatory i AB >22.7 <3.02 (8)
72.48 Lijiang2.4-metertelescope g AB >22.58 <3.37 (8)
72.48 Lijiang2.4-metertelescope r AB >22.07 <5.40 (8)
72.48 Lijiang2.4-metertelescope i AB >21.81 <6.85 (8)
