T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
778.	-9.	-9.	-9.	17.05	0.18	u	UVOT	covino10
2520.	-9.	-9.	-9.	19.1	0.2	BJ	SMARTS	covino10
84.	-9.	-9.	-9.	14.87	0.2	v	UVOT	covino10
202.	-9.	-9.	-9.	16.38	0.21	v	UVOT	covino10
252.	-9.	-9.	-9.	16.37	0.15	v	UVOT	covino10
302.	-9.	-9.	-9.	16.52	0.17	v	UVOT	covino10
500.	-9.	-9.	-9.	17.34	0.17	v	UVOT	covino10
633.	-9.	-9.	-9.	16.88	0.26	VJ	REM	covino10
783.	-9.	-9.	-9.	17.5	0.42	VJ	REM	covino10
1030.	-9.	-9.	-9.	17.71	0.29	VJ	REM	covino10
1060.	-9.	-9.	-9.	18.28	0.35	v	UVOT	covino10
1380.	-9.	-9.	-9.	18.04	0.35	VJ	REM	covino10
2520.	-9.	-9.	-9.	18.9	0.3	VJ	SMARTS	covino10
1.28e6	-9.	-9.	-9.	25.04	0.1	VJ	NOT	covino10
61.	-9.	-9.	-9.	14.02	0.04	RC	REM	covino10
80.	-9.	-9.	-9.	14.43	0.06	RC	REM	covino10
100.	-9.	-9.	-9.	14.83	0.06	RC	REM	covino10
119.	-9.	-9.	-9.	15.	0.08	RC	REM	covino10
138.	-9.	-9.	-9.	15.38	0.1	RC	REM	covino10
157.	-9.	-9.	-9.	15.48	0.12	RC	REM	covino10
176.	-9.	-9.	-9.	15.6	0.12	RC	REM	covino10
195.	-9.	-9.	-9.	15.73	0.12	RC	REM	covino10
214.	-9.	-9.	-9.	15.74	0.13	RC	REM	covino10
233.	-9.	-9.	-9.	15.71	0.14	RC	REM	covino10
248.	-9.	-9.	-9.	16.14	0.14	RC	REM	covino10
277.	-9.	-9.	-9.	16.25	0.15	RC	REM	covino10
306.	-9.	-9.	-9.	16.32	0.16	RC	REM	covino10
336.	-9.	-9.	-9.	16.35	0.16	RC	REM	covino10
365.	-9.	-9.	-9.	16.63	0.21	RC	REM	covino10
394.	-9.	-9.	-9.	16.67	0.2	RC	REM	covino10
423.	-9.	-9.	-9.	16.63	0.18	RC	REM	covino10
452.	-9.	-9.	-9.	16.58	0.2	RC	REM	covino10
481.	-9.	-9.	-9.	16.73	0.21	RC	REM	covino10
510.	-9.	-9.	-9.	16.93	0.26	RC	REM	covino10
542.	-9.	-9.	-9.	17.11	0.25	RC	REM	covino10
571.	-9.	-9.	-9.	16.95	0.23	RC	REM	covino10
601.	-9.	-9.	-9.	17.34	0.34	RC	REM	covino10
695.	-9.	-9.	-9.	17.08	0.28	RC	REM	covino10
724.	-9.	-9.	-9.	17.48	0.36	RC	REM	covino10
753.	-9.	-9.	-9.	17.36	0.33	RC	REM	covino10
825.	-9.	-9.	-9.	17.65	0.27	RC	REM	covino10
894.	-9.	-9.	-9.	17.49	0.24	RC	REM	covino10
964.	-9.	-9.	-9.	17.64	0.27	RC	REM	covino10
1210.	-9.	-9.	-9.	18.36	0.36	RC	REM	covino10
1420.	-9.	-9.	-9.	18.37	0.34	RC	REM	covino10
