Time		Mag	MagErr	Band	GCN
25574.4		22.01	0.13	V	astro-ph0506232
28771.2		22.05	0.16	V	astro-ph0506232
31104.		22.18	0.13	V	astro-ph0506232
1555.2		18.44	0.05	R	astro-ph0506232
3801.6		19.31	0.15	R	astro-ph0506232
12096		20.71	0.13	R	astro-ph0506232
24537.6		21.39	0.15	R	astro-ph0506232
27734.4		21.47	0.15	R	astro-ph0506232
30067.2		21.47	0.14	R	astro-ph0506232
32140.8		21.59	0.17	R	astro-ph0506232
950.4		17.633	0.1	R	?
1209.6		17.733	0.1	R	?
1468.8		17.833	0.1	R	?
1555.2		17.933	0.1	R	?
1641.6		17.833	0.1	R	?
1900.8		17.933	0.1	R	?
2073.6		18.033	0.1	R	?
2592		18.333	0.1	R	?
2764.8		18.333	0.1	R	?
3024		18.433	0.1	R	?
3801.6		18.833	0.1	R	?
32832		21.733	0.1	R	?
34473.6		21.933	0.1	R	?
35769.6		22.033	0.1	R	?
37152		21.933	0.1	R	?
38620.8		22.033	0.1	R	?
39916.8		22.133	0.1	R	?
41212.8		22.133	0.1	R	?
42595.2		22.033	0.1	R	?
43891.2		22.233	0.1	R	?
45187.2		22.333	0.1	R	?
46656		22.333	0.1	R	?
47952		22.533	0.1	R	?
49334.4		22.433	0.1	R	?
50630.4		22.233	0.1	R	?
52012.8		22.233	0.1	R	?
62985.6		22.433	0.1	R	?
